PIT,CLAY,SILT,SAND,FSi,CoSi,VFS,FS,MS,CoS,VCoS,CECCL,CAX,MGX,NaX,KX,SUMB,CEC,BSAT
100a,5.5,22.3,72.2,11.4,10.9,10.2,20.6,18.6,13.2,9.6,4.5,0.4,0.3,-1,0.1,0.8,24.8,3.2
100b,7.7,34.8,57.5,17.1,17.7,10.9,19.4,13.2,8.9,5.1,3,0.3,0.2,-1,0.1,0.6,22.9,2.6
100c,10.3,33.3,56.4,16.6,16.7,12.9,17.8,13.2,7,5.5,1.5,0.3,0.1,-1,0.1,0.5,15.1,3.3
101a,5.5,24.1,70.4,12.7,11.4,11.1,20,18.4,13.8,7.1,1.8,0.3,0.1,-1,0.1,0.5,9.7,5.2
101b,5.8,25.4,68.8,13.1,12.3,11.5,20.1,17.7,12.6,6.9,1.8,0.3,0.1,-1,0.1,0.5,10.5,4.8
101c,6.6,25.7,67.7,13.6,12.1,10.3,18.1,17.8,13.8,7.7,2,0.4,0.1,-1,0.1,0.6,13.2,4.5
103a,10.1,33.6,56.3,17,16.6,12.9,15.9,14,9.1,4.4,1.8,0.3,0.2,-1,0.1,0.6,18.2,3.3
103b,10.5,36.1,53.4,18.2,17.9,11.4,16.9,13.7,7.8,3.6,1.6,0.4,0.1,-1,0.1,0.6,17,3.5
103c,8.6,34.2,57.2,19.5,14.7,11.3,17.7,14.6,9.1,4.5,1.9,0.3,0.1,-1,0.1,0.5,16,3.1
104a,6,43.4,50.6,23.7,19.7,10.2,16.3,14,6.6,3.5,4.3,0.3,0.1,-1,0.1,0.5,25.6,2
104b,8,38.8,53.2,18.2,20.6,11.5,15.6,14,7.6,4.5,2.3,0.4,0.1,-1,0.2,0.7,18.2,3.8
104c,7.9,26.6,65.5,13.1,13.5,12,21,17,10.3,5.2,1.7,0.4,0.1,-1,0.1,0.6,13.3,4.5
105a,5.9,30.7,63.4,16.8,13.9,10.8,19.4,17.1,10.6,5.5,3.2,0.4,0.1,0.2,0.1,0.8,19,4.2
105b,5.1,27.9,67,9.7,18.2,10.9,19.7,19.5,11.1,5.8,7.2,0.4,0.2,-1,0.2,0.8,36.9,2.2
105c,7.3,29.7,63,12.9,16.8,11.8,21.4,18.6,8.1,3.1,4.9,0.3,0.2,0.1,0.1,0.7,35.7,2
106a,7.1,27.2,65.7,10.7,16.5,10.7,17.1,16.2,13,8.7,1.5,0.3,0.1,0.1,0.1,0.6,10.6,5.7
106b,7.7,26.6,65.7,11.7,14.9,12.3,20.4,15.8,10.9,6.3,2.8,0.3,0.2,0.1,0.1,0.7,21.5,3.3
106c,3.7,29.7,66.6,12.7,17,10.8,15.8,19.9,14.3,5.8,3,0.2,0.1,0.1,-1,0.4,11.2,3.6
107a,2.4,11.4,86.2,3.1,8.3,16.9,40.7,19.2,6.8,2.6,2.3,0.3,0.1,-1,-1,0.5,5.6,8.9
107b,8.9,22,69.1,8.8,13.2,10.7,27.8,19.5,8.1,3,2.4,0.3,0.2,0.1,0.1,0.7,20.9,3.4
107c,8.3,24.7,67,9.3,15.4,11,23.5,19.5,9.9,3.1,2.2,0.3,0.1,0.1,0.1,0.6,18,3.3
108a,6,23.6,70.4,9.9,13.7,8,16.6,23,14.6,8.2,1.4,0.2,-1,-1,-1,0.3,8.6,3.5
108b,6.2,29.3,64.5,13.5,15.8,10.7,19.1,18.5,11,5.2,1.8,0.2,0.1,-1,0.1,0.5,10.9,4.6
108c,6.6,29.5,63.9,11.9,17.6,12.6,20.8,16.8,9.7,4,2,0.3,0.1,-1,0.1,0.5,13.2,3.8
109a,10.3,45.3,44.4,21.2,24.1,10.5,13.3,11,6.5,3.1,2.1,0.7,1.4,-1,0.1,2.3,21.3,10.8
109b,8.1,33.3,58.6,15.6,17.7,12.2,17.4,15.3,9.1,4.6,1.4,0.3,0.1,-1,0.1,0.5,10.9,4.6
109c,8.6,32,59.4,14.9,17.1,12.2,18.3,15.5,9.2,4.2,1.4,0.3,-1,-1,0.1,0.4,12,3.3
10a,5.3,35.2,59.5,18.9,16.3,10.9,16.9,15,9.7,7,2.6,0.3,0.1,0.1,0.1,0.6,14,4.3
10b,7.6,37,55.4,20.2,16.8,11.1,17.1,13.2,8.3,5.7,2.1,0.2,-1,0.1,0.1,0.4,15.6,2.6
10c,6.7,32.6,60.7,18.1,14.5,10.4,17.8,15.7,11.2,5.6,2.8,0.8,0.2,1,0.1,2.1,18.8,11.2
110a,7.8,25.4,66.8,10.7,14.7,10.9,20.8,18.2,11.2,5.7,1.3,0.2,0.1,-1,0.1,0.4,10.2,3.9
110b,7.6,33.2,59.2,15.4,17.8,10.1,16.6,16.9,10.8,4.8,2,0.2,0.1,-1,0.1,0.4,15.4,2.6
110c,7.1,37.4,55.5,16.5,20.9,11.4,12.2,13.1,10.7,8.1,1.8,0.3,-1,-1,0.1,0.5,12.5,4
111a,9.1,44.5,46.4,19.8,24.7,9.6,11.8,12.7,7.6,4.7,1.8,0.4,0.1,-1,0.1,0.6,16.6,3.6
111b,9,28.2,62.8,13.4,14.8,7,14.1,17.3,14.9,9.5,2.9,0.4,0.2,-1,0.2,0.8,26.1,3.1
111c,7.1,24.9,68,11.4,13.5,9.6,18.8,18.8,12.4,8.4,2.3,0.3,0.1,-1,0.1,0.5,16.2,3.1
112a,12.5,50.4,37.1,22.8,27.6,9.5,7.7,10.8,6.5,2.6,2.8,0.4,0.1,-1,0.1,0.6,34.8,1.7
112b,7.5,49.1,43.4,21.9,27.2,12,11.8,11,6.3,2.3,2,0.3,0.1,-1,0.1,0.5,14.8,3.4
112c,6.1,26.9,67,11.8,15.1,11.5,20.1,18.3,11.7,5.4,2,0.4,0.1,-1,0.1,0.7,12,5.8
113a,5.7,31.6,62.7,15.4,16.2,9.5,16.2,18,12.6,6.4,3.1,0.3,0.2,-1,0.1,0.6,17.8,3.4
113b,7.6,32.4,60,15.9,16.5,11.5,16.3,16.3,10.9,5,1.8,0.3,-1,-1,0.1,0.5,14,3.6
113c,3.3,24.6,72.1,10.7,13.9,11.1,20.6,20.8,13.1,6.5,3.6,0.4,0.1,0.1,0.1,0.7,12,5.8
114a,5.5,30.1,64.4,14.7,15.4,11.5,18,17.5,12.3,5.1,2.7,0.4,-1,-1,0.1,0.5,15,3.3
114b,8.7,36.5,54.8,18.4,18.1,10.8,14.6,14.1,10,5.3,2.8,0.3,-1,-1,0.1,0.5,23.9,2.1
114c,6.4,34.6,59,18,16.6,13.3,16.6,16,8.7,4.4,2.8,0.4,0.1,0.1,0.1,0.7,17.7,4
116a,5,28.9,66.1,15,13.9,10.4,18.6,18.4,12.5,6.2,2.5,0.3,-1,-1,0.1,0.4,12.6,3.2
116b,5.6,43,51.4,21.2,21.8,10.7,12.4,12.8,9.8,5.7,2.9,0.3,-1,-1,0.1,0.4,16.1,2.5
116c,4.7,49.8,45.5,22.9,26.9,14.9,12.7,11.2,5.3,1.4,3.3,0.4,-1,-1,0.1,0.6,15.5,3.9
117a,6.6,27.8,65.6,16.1,11.7,11.5,18.8,16.7,10.8,7.8,1.8,0.1,0.1,0.2,-1,0.4,12.1,3.3
117b,6.6,31,62.4,16.8,14.2,11.2,17.8,15.3,10.9,7.2,2.2,0.1,0.1,0.1,-1,0.3,14.5,2.1
117c,3.5,30.1,66.4,15.9,14.2,13.2,19.3,14.7,11.4,7.8,3.9,0.1,-1,0.1,0.1,0.3,13.6,2.2
118a,4.4,31.4,64.2,15.7,15.7,11,14.8,18.8,12.4,7.2,4.7,0.1,0.1,0.1,0.1,0.4,20.8,1.9
118b,5.5,25.8,68.7,12.5,13.3,11.5,17.8,19.9,13.6,5.9,2,0.1,0.1,0.1,-1,0.3,11.1,2.7
118c,2.3,23.2,74.5,10,13.2,12.4,22.2,18.1,12.2,9.6,2.8,0.2,-1,-1,-1,0.3,6.4,4.7
11a,5.1,35.9,59,18.8,17.1,11.4,14.9,15.2,10.6,6.9,4.5,0.3,0.2,0.1,0.2,0.8,23.1,3.5
11b,3.7,32.7,63.6,17,15.7,11.6,16.7,15.3,11.5,8.5,3.7,0.3,0.1,0.1,0.1,0.6,13.7,4.4
11c,4,30.8,65.2,16.3,14.5,12,17.2,14.5,10.1,11.4,4.9,0.3,0.1,-1,0.1,0.5,19.6,2.6
121a,5.9,31.7,62.4,15.8,15.9,13.4,20.5,16.1,8.7,3.7,2,0.1,0.1,0.1,0.1,0.4,12,3.3
121b,5.3,33.5,61.2,17.1,16.4,14.8,18.2,15.4,8.5,4.3,2.7,0.1,-1,0.1,0.1,0.3,14.4,2.1
121c,3.8,32.4,63.8,15.7,16.7,14.8,19.6,15.7,10.1,3.6,2.6,0.1,-1,0.1,-1,0.2,9.9,2
122a,5,25,70,12,13,10.6,20.5,18.1,13,7.8,4,0.7,0.2,-1,0.1,1,20.2,5
122b,6.7,25.8,67.5,12.3,13.5,11.6,21.1,17.7,11.6,5.5,2.5,0.5,0.1,0.1,0.1,0.8,16.7,4.8
122c,7.2,32,60.8,16.9,15.1,12.2,16.3,15.9,10.3,6.1,2.2,0.1,0.1,0.1,0.1,0.4,16.1,2.5
123a,6.1,32,61.9,17.3,14.8,11.2,18.4,17.2,10.5,4.6,2.5,0.1,0.1,0.1,0.1,0.4,15.5,2.6
123b,7.2,29.6,63.2,14.5,15.1,9.8,17,16.5,11.9,8,2.3,0.1,-1,0.1,0.1,0.3,16.3,1.8
125a,7.7,31.5,60.8,17,14.5,10,16.9,17,11.3,5.6,2,1.1,0.2,1.7,0.1,3.1,15.3,20.3
125b,5.8,21.6,72.6,11.8,9.8,6,10.8,18.6,21.8,15.4,2.6,0.6,0.1,0.1,0.2,1,15.2,6.6
125c,10.9,34.5,54.6,19.9,14.6,10.4,14.8,15.3,9.7,4.4,2.2,0.6,0.2,0.1,0.2,1.1,24.4,4.5
126a,4.2,26.5,69.3,12.1,14.4,14.7,24.2,16.3,9.3,4.8,2.3,0.1,0.1,0.1,-1,0.3,9.7,3.1
126b,4.4,23.9,71.7,11.2,12.7,19.1,30.7,12.7,6,3.2,2.4,0.2,0.1,-1,-1,0.4,10.4,3.8
126c,3.1,23.4,73.5,11.8,11.6,17.2,24.5,15.1,10.5,6.2,3,1.2,0.2,0.1,-1,1.5,9.3,16.1
127a,9,27.7,63.3,16.6,11.1,9.6,15.8,14.4,13.6,9.9,2.4,0.3,0.2,0.1,0.1,0.7,21.2,3.3
127b,14.7,36,49.3,22.2,13.8,9.7,14.3,11.4,8.5,5.4,1.1,0.4,0.3,0.1,0.2,1,15.7,6.4
127c,10,32.6,57.4,16.4,16.2,11.4,15,14.2,9.3,7.5,1.6,0.1,0.1,0.1,0.1,0.4,15.5,2.6
128a,8.5,31.7,59.8,18.6,13.1,11,18.7,15.2,9.4,5.5,1.9,0.6,0.2,-1,-1,0.9,16,5.6
128b,7,29.8,63.2,16.8,13,11.5,20.2,15.7,9.8,6,2.2,0.3,0.2,3.1,0.1,3.7,15.6,23.7
128c,6.1,31.4,62.5,16.7,14.7,11.6,20.8,15.5,8.4,6.2,2.9,0.2,0.1,0.1,0.1,0.5,17.5,2.9
129a,2.1,26.6,71.3,13.4,13.2,10.9,22.7,24.6,8.9,4.2,13.3,0.2,0.1,0.1,0.1,0.5,27.9,1.8
129b,2.6,32.4,65,18.4,14,13.3,23.8,15.7,8.8,3.4,5.7,0.7,0.2,0.1,-1,1,14.8,6.8
129c,1.2,21.3,77.5,10.7,10.6,11.3,23.9,22.6,15.1,4.6,18.8,0.3,0.2,0.1,0.1,0.7,22.6,3.1
12a,11,52.6,36.4,27.6,25,12.3,10.3,8.6,3.9,1.3,2.1,0.3,0.2,-1,0.1,0.6,23.5,2.6
12b,7.3,36.8,55.9,18.4,18.4,13.3,17,14.8,7.4,3.4,3.3,0.3,0.2,0.1,0.1,0.7,24.4,2.9
12c,10.9,56.1,33,28.9,27.2,12.4,10.1,6.3,2.8,1.4,1.6,0.3,0.2,-1,0.1,0.6,17.8,3.4
130a,5.7,28.2,66.1,14.2,14,9.9,18.4,19,12.9,5.9,2.7,0.1,0.1,0.1,0.1,0.4,15.2,2.6
130b,2.3,33.5,64.2,15.3,18.2,9,12.5,16.9,15.6,10.2,4.3,0.3,0.1,0.1,-1,0.5,9.8,5.1
130c,4.6,20.5,74.9,11,9.5,7.3,16.3,23.3,18.9,9.1,2.8,0.1,0.1,0.1,0.1,0.4,12.7,3.2
131c,9.5,51.9,38.6,25.4,26.5,17.6,12.3,5.5,2.4,0.8,2.6,0.5,0.2,0.2,0.2,1.1,24.8,4.4
132a,5.6,26.4,68,12.9,13.5,10.3,17.2,18.3,15.7,6.5,2.9,-1,0.1,0.2,0.1,0.4,16.3,2.5
132b,6.9,29.6,63.5,15.7,13.9,11.1,16.4,17.6,11.8,6.6,3.6,-1,0.1,0.2,0.1,0.4,24.8,1.6
132c,7.1,39.2,53.7,20,19.2,12,13.2,12.4,9.7,6.4,4.1,0.2,0.2,0.2,0.2,0.8,29.4,2.7
133a,6.8,45.9,47.3,22.4,23.5,10.8,12.5,11.8,7.9,4.3,3.4,0.1,0.2,0.1,0.1,0.5,23.1,2.2
133b,6.4,37,56.6,17.2,19.8,10.2,14.9,14.9,11.1,5.5,2.2,0.1,0.1,0.1,-1,0.3,14.1,2.1
133c,7,53.8,39.2,26.4,27.4,11.2,9.6,9.7,6.1,2.6,2.4,-1,0.1,0.1,-1,0.3,17,1.8
134a,6.2,30,63.8,16.1,13.9,11.8,20.5,17.7,9.4,4.4,5,0.3,0.1,0.1,0.1,0.6,30.7,2
134b,5.2,28,66.8,14,14,12.7,22.2,17.8,9.7,4.4,3.1,0.2,0.1,0.1,-1,0.5,16.3,3.1
134c,4.5,27.4,68.1,11.7,15.7,12.7,22,17.8,11.2,4.4,2.8,0.4,0.1,0.1,0.1,0.7,12.8,5.5
135a,4.4,22.3,73.3,9.9,12.4,7.8,16.9,25.8,16.9,5.9,3.3,-1,0.1,0.1,-1,0.2,14.4,1.4
135b,6.4,28.5,65.1,10.1,18.4,9.6,15.8,21.3,14.2,4.2,2.7,0.1,0.1,0.1,0.1,0.4,17,2.4
135c,2.8,31.1,66.1,12.1,19,10.6,17.7,18.2,14.2,5.4,3.3,0.3,0.1,0.1,-1,0.5,9.1,5.5
136a,6.4,27.6,66,12.1,15.5,11.4,18.6,17.9,12,6.1,5.6,0.9,0.3,0.1,0.2,1.5,35.5,4.2
136b,2.9,23.8,73.3,9.5,14.3,11.8,23.1,20.3,13.5,4.6,6,0.1,0.1,0.1,0.2,0.5,17.5,2.9
136c,1.3,19.6,79.1,8.2,11.4,10.5,22.2,25,16.9,4.5,22.5,0.1,0.3,-1,0.2,0.6,29.2,2.1
137a,3.5,25,71.5,11.3,13.7,10.8,22.5,20.8,12.7,4.7,10.5,-1,0.2,-1,0.1,0.3,36.6,0.8
137b,3.4,28.6,68,13.5,15.1,14.7,21.5,17.7,10.3,3.8,7.4,-1,0.1,-1,-1,0.2,25.1,0.8
137c,8.3,36.8,54.9,16.8,20,11.5,20.1,15.1,6.3,1.9,4.5,-1,0.1,-1,-1,0.1,37,0.3
13a,7.6,22.7,69.7,12.5,10.2,9.9,18.6,19.1,15.1,7,2.8,0.4,0.1,0.1,0.1,0.7,20.9,3.4
13b,6.9,28.4,64.7,15,13.4,13.4,20,17,9.1,5.2,3,0.5,0.2,0.1,0.2,1,20.4,4.9
13c,8.6,32.5,58.9,18.8,13.7,10,17.6,16.6,9.8,4.9,4,0.8,0.3,0.1,0.1,1.3,34.5,3.8
140a,5.4,29.2,65.4,14.3,14.9,11.3,19.1,16.2,10.8,8,2.7,0.4,0.2,-1,0.2,0.8,14.6,5.5
140b,3.5,34.6,61.9,15.6,19,13.3,24.1,15.8,6.8,1.9,9.3,0.1,0.2,0.1,0.1,0.5,32.5,1.5
140c,3,27,70,13.1,13.9,12.1,19.4,19.7,13.4,5.4,10,-1,0.1,-1,-1,0.1,30.1,0.3
141a,5,29.6,65.4,13.9,15.7,9,15,17.9,13.3,10.2,5.2,0.6,0.3,-1,0.1,1,26.2,3.8
141b,5.1,25,69.9,10.5,14.5,9.7,18.1,19.1,14.5,8.5,6.6,0.2,0.2,-1,-1,0.5,33.7,1.5
141c,5.7,34.6,59.7,16.9,17.7,10.2,18.5,17.1,9.9,4,7.7,0.1,0.2,-1,0.1,0.4,44.1,0.9
142a,7.7,39.4,52.9,21.2,18.2,8.8,13.5,13,9.7,7.9,10.4,0.4,0.5,-1,0.7,1.7,79.7,2.1
142b,7,39,54,21,18,12.2,14.6,10.4,6.3,10.5,8.2,0.4,0.4,-1,0.3,1.1,57.4,1.9
142c,7.8,36.9,55.3,22,14.9,9.5,15.8,16,8.7,5.3,7.5,0.4,0.5,0.1,0.5,1.5,58.1,2.6
143a,6.2,26.6,67.2,13.2,13.4,9.8,19.5,18.7,13.5,5.7,4.6,0.1,0.3,-1,0.1,0.5,28.4,1.8
143b,8.6,35.3,56.1,16.3,19,11.4,16.9,16.3,8.4,3.1,2.1,0.1,0.2,-1,-1,0.3,17.6,1.7
143c,5.2,41.5,53.3,20.6,20.9,11,14.1,14.9,9.6,3.7,6.9,0.1,0.2,0.1,-1,0.4,35.9,1.1
144a,2.5,31.5,66,16,15.5,10.7,20.5,19,11.4,4.4,19.5,-1,0.2,0.1,-1,0.3,48.7,0.6
144b,1.2,14.4,84.4,7,7.4,10.7,30.4,27.1,12,4.2,23.3,0.2,0.1,0.1,-1,0.4,27.9,1.4
144c,5.3,42.9,51.8,21.3,21.6,11.2,15.9,13.8,7.6,3.3,4.1,-1,0.1,0.1,-1,0.2,21.7,0.9
145a,3.3,31.7,65,15.3,16.4,12.6,20.2,17,10.6,4.6,5.6,0.2,0.1,-1,-1,0.3,18.5,1.6
145b,5.2,35.9,58.9,18.2,17.7,11.8,16.6,15.8,9.7,5,2.5,-1,0.1,-1,-1,0.2,12.9,1.6
145c,4.9,35.4,59.7,17.5,17.9,12.6,17.9,16.5,9.1,3.6,3.8,0.1,0.1,-1,0.1,0.3,18.7,1.6
149a,7.2,34.3,58.5,16.6,17.7,11.4,19.2,15.9,8.3,3.7,5.9,0.1,0.1,-1,-1,0.2,42.1,0.5
149b,4.3,30.9,64.8,16.4,14.5,10.3,18.8,18.1,10.9,6.7,5.2,-1,-1,-1,-1,-1,22.2,0.2
14a,9,33.4,57.6,16.7,16.7,9,15.9,15.5,11.6,5.6,3.3,0.5,0.3,2.8,-1,3.6,29.5,12.2
14b,7.9,36.6,55.5,18.4,18.2,11.3,16.7,15,9.1,3.4,4.4,0.3,0.3,0.1,0.2,0.9,35.1,2.6
14c,5,27,68,12.8,14.2,12,18.8,18.8,11.8,6.6,4.7,0.4,0.3,0.1,0.1,0.9,23.6,3.8
150a,4.8,32.7,62.5,15.8,16.9,11.5,17.3,17.4,11.4,4.9,7,0.2,0.1,0.1,0.1,0.5,33.4,1.5
150b,5.1,21.2,73.7,11.3,9.9,8.6,22.7,25.4,12.5,4.5,3.1,0.1,0.1,-1,0.1,0.3,15.9,1.9
150c,4.4,14.7,80.9,7.3,7.4,8.4,27.3,29.1,12.3,3.8,4,0.1,0.1,-1,0.1,0.3,17.5,1.7
151a,16,49.8,34.2,31.7,18.1,6.5,8.7,9.1,7.2,2.7,1.8,0.9,0.4,0.1,0.3,1.7,28.2,6
151b,17.3,61.9,20.8,34.7,27.2,9.5,5.8,3.7,1.6,0.2,2.4,1.1,0.4,0.1,0.3,1.9,40.7,4.7
151c,9.8,57.6,32.6,33.3,24.3,8.1,8,8.8,5.8,1.9,4.4,1.3,0.4,0.1,0.4,2.2,42.8,5.1
152a,4.2,29.2,66.6,14.5,14.7,11.4,19.9,17.5,11.2,6.6,3.3,0.2,0.1,-1,0.2,0.5,13.8,3.6
152b,2.4,33.4,64.2,16.7,16.7,10.8,17.1,16.1,11.6,8.6,6.6,0.2,0.1,-1,0.2,0.5,15.8,3.2
152c,4.1,28.9,67,14,14.9,10.6,16.4,18.2,13.9,7.9,6.8,-1,0.1,-1,0.2,0.4,27.8,1.4
153a,2.9,38.5,58.6,19.3,19.2,12.4,17.3,15.2,9.3,4.4,4.5,-1,0.1,0.1,0.2,0.4,13,3.1
153b,2.1,34.8,63.1,17,17.8,12.5,19.4,15.9,9.7,5.6,7.4,0.1,0.1,-1,0.2,0.5,15.6,3.2
153c,2.9,29.9,67.2,14.8,15.1,11.9,19.6,17.5,11.6,6.6,7.8,0.2,0.1,-1,-1,0.4,22.5,1.8
154a,11.6,45.4,43,29.9,15.5,7.3,12.9,11.2,7.6,4,2.4,0.1,0.1,-1,-1,0.3,27.4,1.1
154b,7.7,28.7,63.6,16.2,12.5,10.7,19.6,17.4,10.6,5.3,2,0.1,0.2,0.1,0.1,0.5,15.1,3.3
154c,5.5,29.8,64.7,15.8,14,8.9,17.3,18.4,12.7,7.4,4.6,0.1,0.1,-1,0.1,0.3,25,1.2
155a,3.2,25.7,71.1,12.7,13,12.5,21.4,18.8,12.8,5.6,3.4,0.2,0.1,0.1,-1,0.4,10.8,3.7
155b,4.2,31,64.8,15.6,15.4,12.8,18.9,16.8,11.1,5.2,5.6,0.2,0.1,0.1,-1,0.4,23.7,1.7
155c,1.4,36,62.6,18,18,12.7,18.7,14.9,10.9,5.4,17.5,0.5,0.2,0.1,-1,0.8,24.5,3.3
158a,7.5,36.7,55.8,20.7,16,10,16,14.6,10.2,5,1.5,0.1,0.2,0.1,-1,0.4,11.3,3.5
158b,5.7,33.1,61.2,19.2,13.9,10.8,18.8,16.3,10.1,5.2,2.9,0.1,0.2,0.1,0.1,0.5,16.3,3.1
158c,3.3,46.4,50.3,23.4,23,11.7,12.7,12.4,9.2,4.3,9.9,0.1,0.2,0.2,-1,0.5,32.6,1.5
159a,2,28.7,69.3,14,14.7,9.1,15.9,17.4,14.4,12.5,14.6,0.1,0.2,0.1,0.1,0.5,29.1,1.7
159c,1.8,22.5,75.7,10.2,12.3,12.7,21,19,15.5,7.5,10.2,0.1,0.2,-1,0.1,0.4,18.3,2.2
15a,10.2,54.8,35,27.8,27,10.9,9.6,7.1,4.8,2.6,2.3,0.1,0.1,0.1,0.1,0.4,23.6,1.7
15b,10.4,35.1,54.5,17.5,17.6,11.2,18,12.9,8,4.4,1.5,0.2,0.2,0.1,0.1,0.6,15.2,3.9
15c,10.5,41.7,47.8,20.2,21.5,12.9,13.9,9.4,7.3,4.3,2.1,0.2,0.2,0.1,0.1,0.6,21.9,2.7
161a,3.1,23.4,73.5,6.3,17.1,26.1,33,11.2,2.2,1,4.4,0.2,-1,-1,-1,0.3,13.5,2.2
161b,3.6,25.5,70.9,9.2,16.3,19.9,31.7,15.4,3,0.9,2.5,0.1,0.1,-1,-1,0.2,8.9,2.2
161c,3.2,27,69.8,9.9,17.1,15.7,30.5,18.9,3.5,1.2,2.9,-1,0.1,-1,-1,0.1,9.3,1.1
165a,4.3,30.1,65.6,14,16.1,6.9,10.7,17.6,20.5,9.9,4.8,-1,0.1,-1,-1,0.1,20.8,0.5
165b,5.8,29.6,64.6,14.4,15.2,6.8,9.9,17.6,20.1,10.2,3.9,-1,0.1,-1,0.1,0.2,22.6,0.9
165c,5.8,26.9,67.3,13.4,13.5,8.6,16.3,18.4,16.5,7.5,4.3,0.1,0.2,-1,0.1,0.4,24.7,1.6
166a,12.6,50.7,36.7,24.1,26.6,10.2,9.2,9.2,6.2,1.9,2.2,0.4,0.2,-1,0.1,0.7,28.1,2.5
166b,7,48.7,44.3,25.6,23.1,9.3,10.3,11.7,9.2,3.8,3.9,0.1,0.1,-1,0.1,0.3,27.3,1.1
166c,6.2,36.2,57.6,15.4,20.8,12.1,15.4,15.2,10,4.9,2.6,-1,0.1,-1,0.1,0.2,15.8,1.3
167a,4.3,30.9,64.8,13,17.9,9.6,15.7,18.5,14.7,6.3,3.1,-1,0.1,-1,-1,0.1,13.2,0.8
167b,1.7,24.9,73.4,13.1,11.8,11.6,22.7,22.5,12.2,4.4,18.4,-1,0.1,-1,0.1,0.2,31.3,0.6
167c,5.6,28.3,66.1,13.1,15.2,10.1,18.7,18.8,12.7,5.8,3.2,-1,0.1,-1,0.1,0.2,18,1.1
