PIT,CLAY,SILT,SAND,FSi,CoSi,VFS,FS,MS,CoS,VCoS,CECCL,CAX,MGX,NaX,KX,SUMB,CEC,BSAT
40a,4.3,21.1,74.6,11.4,9.7,12.5,25.8,22.3,9.9,4.1,7.5,0.1,0.2,0.1,0.1,0.5,32.4,1.5
40b,4.5,38.3,57.2,20.7,17.6,11.6,19,15.6,7.4,3.6,8.7,0.1,0.2,0.1,0.1,0.5,39.2,1.3
40c,2.2,22.7,75.1,12.3,10.4,13,26.1,22.5,10,3.5,8.9,-1,0.2,0.1,0.1,0.4,19.6,2
41a,3.2,26.1,70.7,10,16.1,12.6,19.4,16.6,12.8,9.3,12.6,0.1,0.3,0.1,0.2,0.7,40.4,1.7
41b,5.9,27.6,66.5,12.9,14.7,12.7,19.3,17.7,11.6,5.2,3.1,0.1,0.2,0.1,0.1,0.5,18,2.8
41c,11.1,42,46.9,21.9,20.1,10.7,13.6,12,7.1,3.5,4.1,0.1,0.3,0.2,0.2,0.8,45.3,1.8
43a,8.6,31.7,59.7,15.3,16.4,10.7,18,15.1,10,5.9,3.3,0.1,0.2,0.1,0.1,0.5,28,1.8
43b,8.3,35.3,56.4,17.8,17.5,11.4,18,14.4,8.9,3.7,2.7,0.1,0.2,0.1,0.1,0.5,22.1,2.3
43c,8.2,32.2,59.6,17,15.2,11.4,17.7,16.1,10.4,4,2.8,0.1,0.1,0.1,0.1,0.4,23,1.7
45a,9.1,42.9,48,23,19.9,8.6,13.2,14.1,8.9,3.2,1.6,0.1,0.1,0.1,0.1,0.4,14.7,2.7
45c,9,34.7,56.3,18.1,16.6,9.6,17.8,16.7,9.1,3.1,3.1,-1,0.2,-1,0.1,0.4,27.5,1.5
46a,5.2,32.8,62,17.6,15.2,10.4,18.2,17.7,11.6,4.1,5.8,-1,0.1,-1,0.1,0.3,29.9,1
46b,5.5,34.9,59.6,18.3,16.6,11.4,16.9,16.8,11,3.5,2.1,-1,0.1,-1,-1,0.2,11.3,1.8
46c,5.5,33.3,61.2,16.9,16.4,11,19.2,17,10.3,3.7,4.7,-1,0.2,0.1,0.1,0.4,25.8,1.6
47a,8.1,46.3,45.6,21.4,24.9,9.7,12.2,12.2,8.2,3.3,3.5,0.1,0.2,-1,0.1,0.4,28.7,1.4
47b,7.6,57,35.4,27,30,11.2,9.2,8.1,4.7,2.2,3.3,-1,0.2,-1,0.1,0.4,25.4,1.6
47c,9.6,54.7,35.7,25.4,29.3,11.8,10.4,8.1,4.1,1.3,1.7,-1,0.2,-1,0.1,0.4,16.7,2.4
48a,5.7,31.3,63,15.9,15.4,10.3,18,17,12,5.7,3.5,-1,0.2,-1,0.1,0.4,20.1,2
48b,5.3,47.2,47.5,24.3,22.9,11,15.7,14.2,5.4,1.2,7.2,-1,0.2,-1,0.1,0.4,38.2,1
48c,7.4,47.9,44.7,22.1,25.8,12.5,11.7,11.1,6.6,2.8,4.6,0.1,0.3,-1,0.1,0.5,34.2,1.5
50a,5.9,37.7,56.4,18.9,18.8,11.5,16.8,14.9,9.4,3.8,4.3,0.1,0.1,-1,0.1,0.4,25.6,1.6
50b,4,32.4,63.6,16.7,15.7,11.5,19.9,17.1,10.8,4.3,3.2,0.1,0.1,-1,-1,0.3,12.9,2.3
50c,4.9,36.8,58.3,18.5,18.3,11.1,16.8,15.2,11.1,4.1,2.9,0.1,-1,0.1,-1,0.2,14.1,1.4
51a,4,29.8,66.2,14.7,15.1,13.3,19.9,17.7,10.9,4.4,5.9,0.1,0.1,0.2,0.1,0.5,23.4,2.1
51b,10.4,37.8,51.8,19.1,18.7,10.3,15.2,14.2,8.8,3.3,2.6,-1,0.1,0.2,0.1,0.5,27.1,1.8
51c,5.4,30.3,64.3,15.4,14.9,11.4,19.1,16.8,11.1,5.9,5.3,0.1,-1,0.2,0.1,0.5,28.7,1.7
52a,9.8,45.1,45.1,21.4,23.7,13.3,13.9,10.1,5.3,2.5,2.7,0.1,0.1,0.2,0.1,0.5,26.3,1.9
52b,3.8,22.8,73.4,13.4,9.4,9.3,17.8,22.2,16.7,7.4,7.8,0.3,0.2,0.2,0.2,0.9,29.6,3
52c,3,31.9,65.1,16.7,15.2,13.7,20.8,20,8.2,2.4,8.4,0.1,0.1,0.2,0.1,0.5,25.3,2
55a,3.2,34.2,62.6,18.1,16.1,11,18.9,16.3,10.4,6,11.5,0.3,0.1,0.2,0.1,0.7,36.7,1.9
55b,6.3,32.6,61.1,16.7,15.9,11.5,18.1,18.1,9.4,4,4,0.3,0.2,0.2,0.2,0.9,25.1,3.6
55c,8.1,39.1,52.8,20.4,18.7,10.4,15,14.2,8.9,4.3,2.6,0.2,0.2,0.1,0.1,0.6,20.9,2.9
