case,year,plot,species,pres.abs
7,1937,J,ARAT,0
8,1937,K,ARAT,0
9,1937,L,ARAT,0
10,1937,M,ARAT,0
11,1937,N,ARAT,0
12,1940,B,ARAT,0
13,1940,C,ARAT,0
14,1940,D,ARAT,1
15,1940,E,ARAT,0
16,1940,F,ARAT,0
17,1940,G,ARAT,0
18,1940,H,ARAT,1
19,1940,I,ARAT,0
20,1940,J,ARAT,0
21,1940,K,ARAT,0
22,1940,L,ARAT,0
23,1940,M,ARAT,0
24,1940,N,ARAT,0
25,1948,B,ARAT,0
26,1948,C,ARAT,0
27,1948,D,ARAT,0
28,1948,E,ARAT,0
29,1948,F,ARAT,0
30,1948,G,ARAT,0
31,1948,H,ARAT,1
32,1948,I,ARAT,0
33,1948,J,ARAT,0
34,1948,K,ARAT,0
35,1948,L,ARAT,0
36,1948,M,ARAT,0
37,1948,N,ARAT,0
38,1991,B,ARAT,0
39,1991,C,ARAT,0
40,1991,D,ARAT,0
41,1991,E,ARAT,0
42,1991,F,ARAT,0
43,1991,G,ARAT,0
44,1991,H,ARAT,0
45,1991,I,ARAT,0
46,1991,J,ARAT,0
47,1991,K,ARAT,1
48,1991,L,ARAT,0
49,1991,M,ARAT,0
50,1991,N,ARAT,0
1,1937,C,ACSPP,0
2,1937,E,ACSPP,0
3,1937,F,ACSPP,0
4,1937,G,ACSPP,0
5,1937,H,ACSPP,1
6,1937,I,ACSPP,0
7,1937,J,ACSPP,0
8,1937,K,ACSPP,0
9,1937,L,ACSPP,0
10,1937,M,ACSPP,0
11,1937,N,ACSPP,0
12,1940,B,ACSPP,0
13,1940,C,ACSPP,0
14,1940,D,ACSPP,0
15,1940,E,ACSPP,0
16,1940,F,ACSPP,0
17,1940,G,ACSPP,0
18,1940,H,ACSPP,1
19,1940,I,ACSPP,0
20,1940,J,ACSPP,0
21,1940,K,ACSPP,0
22,1940,L,ACSPP,0
23,1940,M,ACSPP,0
24,1940,N,ACSPP,0
25,1948,B,ACSPP,0
26,1948,C,ACSPP,0
27,1948,D,ACSPP,0
28,1948,E,ACSPP,0
29,1948,F,ACSPP,0
30,1948,G,ACSPP,0
31,1948,H,ACSPP,0
32,1948,I,ACSPP,0
33,1948,J,ACSPP,0
34,1948,K,ACSPP,0
35,1948,L,ACSPP,0
36,1948,M,ACSPP,0
37,1948,N,ACSPP,0
38,1991,B,ACSPP,0
39,1991,C,ACSPP,0
40,1991,D,ACSPP,0
41,1991,E,ACSPP,0
42,1991,F,ACSPP,0
43,1991,G,ACSPP,0
44,1991,H,ACSPP,0
45,1991,I,ACSPP,0
46,1991,J,ACSPP,0
47,1991,K,ACSPP,0
48,1991,L,ACSPP,0
49,1991,M,ACSPP,0
50,1991,N,ACSPP,0
1,1937,C,ASSPP,0
2,1937,E,ASSPP,0
3,1937,F,ASSPP,0
4,1937,G,ASSPP,0
5,1937,H,ASSPP,0
6,1937,I,ASSPP,0
7,1937,J,ASSPP,0
8,1937,K,ASSPP,0
9,1937,L,ASSPP,0
10,1937,M,ASSPP,0
11,1937,N,ASSPP,0
12,1940,B,ASSPP,0
13,1940,C,ASSPP,0
14,1940,D,ASSPP,0
15,1940,E,ASSPP,0
16,1940,F,ASSPP,0
17,1940,G,ASSPP,0
18,1940,H,ASSPP,0
19,1940,I,ASSPP,1
20,1940,J,ASSPP,0
21,1940,K,ASSPP,0
22,1940,L,ASSPP,0
23,1940,M,ASSPP,0
24,1940,N,ASSPP,0
25,1948,B,ASSPP,0
26,1948,C,ASSPP,1
27,1948,D,ASSPP,0
28,1948,E,ASSPP,1
29,1948,F,ASSPP,1
30,1948,G,ASSPP,1
31,1948,H,ASSPP,1
32,1948,I,ASSPP,1
33,1948,J,ASSPP,1
34,1948,K,ASSPP,1
35,1948,L,ASSPP,1
36,1948,M,ASSPP,0
37,1948,N,ASSPP,1
38,1991,B,ASSPP,1
39,1991,C,ASSPP,0
40,1991,D,ASSPP,1
41,1991,E,ASSPP,0
42,1991,F,ASSPP,1
43,1991,G,ASSPP,0
44,1991,H,ASSPP,0
45,1991,I,ASSPP,1
46,1991,J,ASSPP,0
47,1991,K,ASSPP,1
48,1991,L,ASSPP,1
49,1991,M,ASSPP,0
50,1991,N,ASSPP,0
1,1937,C,ATFE,0
2,1937,E,ATFE,0
3,1937,F,ATFE,0
4,1937,G,ATFE,0
5,1937,H,ATFE,0
6,1937,I,ATFE,0
7,1937,J,ATFE,0
8,1937,K,ATFE,0
9,1937,L,ATFE,0
10,1937,M,ATFE,0
11,1937,N,ATFE,0
12,1940,B,ATFE,0
13,1940,C,ATFE,0
14,1940,D,ATFE,0
15,1940,E,ATFE,0
16,1940,F,ATFE,0
17,1940,G,ATFE,0
18,1940,H,ATFE,0
19,1940,I,ATFE,0
20,1940,J,ATFE,0
21,1940,K,ATFE,0
22,1940,L,ATFE,0
23,1940,M,ATFE,0
24,1940,N,ATFE,0
25,1948,B,ATFE,0
26,1948,C,ATFE,0
27,1948,D,ATFE,0
28,1948,E,ATFE,0
29,1948,F,ATFE,0
30,1948,G,ATFE,0
31,1948,H,ATFE,0
32,1948,I,ATFE,0
33,1948,J,ATFE,0
34,1948,K,ATFE,0
35,1948,L,ATFE,0
36,1948,M,ATFE,0
37,1948,N,ATFE,0
38,1991,B,ATFE,0
39,1991,C,ATFE,0
40,1991,D,ATFE,0
41,1991,E,ATFE,0
42,1991,F,ATFE,0
43,1991,G,ATFE,0
44,1991,H,ATFE,1
45,1991,I,ATFE,1
46,1991,J,ATFE,0
47,1991,K,ATFE,1
48,1991,L,ATFE,1
49,1991,M,ATFE,0
50,1991,N,ATFE,0
1,1937,C,BETH,0
