sample.date,plot,sample.number,tree.tag,spp,N.percent,C.percent,vial.label
2007-07-19,D2,NA,588,ro,2.233611345,49.08948135,NA
2007-07-19,D2,NA,589,ash,2.748216867,48.12455368,NA
2007-07-19,D2,NA,589,ash,2.766453981,48.1985817,NA
2007-07-19,D2,NA,592,rm,2.01607275,50.64916229,NA
2007-07-19,D2,NA,592,rm,1.999896884,50.47443771,NA
2007-07-19,D2,NA,594,cherry,2.568834543,50.18416214,NA
2007-07-19,D2,NA,594,cherry,2.572415829,50.44132996,NA
2007-07-24,D3,NA,265,beech,2.504998207,48.35728073,NA
2007-07-24,D3,NA,265,beech,2.501176596,47.62059784,NA
2007-07-24,D3,NA,606,rm,2.019055843,51.0419426,NA
2007-07-24,D3,NA,606,rm,2.032327652,50.61201096,NA
2007-07-24,D3,NA,613,ro,2.639751673,50.65411758,NA
2007-07-24,D3,NA,613,ro,2.60292244,51.29029846,NA
2007-07-24,D4,NA,626,rm,2.628596783,50.55785751,NA
2007-07-24,D4,NA,626,rm,2.437150478,49.05761337,NA
2007-07-24,D4,NA,626,rm,2.512378216,49.92106247,NA
2007-07-24,D4,NA,628,cherry,2.57771492,49.08014679,NA
2007-07-24,D4,NA,628,cherry,2.510885954,48.72029877,NA
2007-07-24,D4,NA,637,ash,2.09923172,48.30783844,NA
2007-07-24,D4,NA,637,ash,2.135194778,48.15806198,NA
2007-07-24,D4,NA,639,bo,3.255060196,50.47283173,NA
2007-07-24,D4,NA,639,bo,2.9559443,48.8007431,NA
2007-07-24,D4,NA,639,bo,3.151436329,49.45923615,NA
2007-07-24,D4,NA,731,sm,2.213987589,47.29451752,NA
2007-07-24,D4,NA,731,sm,2.267524481,47.2703743,NA
2007-07-24,D5,NA,664,bo,2.524172544,48.31658554,NA
2007-07-24,D5,NA,664,bo,2.603173733,48.36434555,NA
2007-07-24,D5,NA,666,rm,1.785797238,50.13593674,NA
2007-07-24,D5,NA,666,rm,1.797616601,49.96863937,NA
2007-07-24,D5,NA,670,wb,1.961116791,48.90672684,NA
2007-07-24,D5,NA,670,wb,2.040904045,48.96508026,NA
2007-07-17,E1,NA,676,ro,2.577809572,49.83171082,NA
2007-07-17,E1,NA,676,ro,2.568804979,50.08933258,NA
2007-07-17,E1,NA,678,hem,1.216507554,50.85515594,NA
2007-07-17,E1,NA,678,hem,1.203677654,50.58297348,NA
2007-07-17,E1,NA,683,rm,2.071847916,49.60390091,NA
2007-07-17,E1,NA,683,rm,2.059677839,49.72105408,NA
2007-07-17,E1,NA,684,yb,2.433781385,48.7960701,NA
2007-07-17,E1,NA,684,yb,2.28835392,48.60475159,NA
2007-07-17,E1,NA,684,yb,2.408183098,47.89118958,NA
2007-07-17,E2,NA,710,ro,2.126815319,49.63952637,NA
2007-07-17,E2,NA,710,ro,2.212308168,49.44438934,NA
2007-07-17,E2,NA,719,rm,2.022037745,47.37185669,NA
2007-07-17,E2,NA,719,rm,2.075273991,49.08024216,NA
2007-07-17,E2,NA,721,cherry,2.798926115,49.8866272,NA
2007-07-17,E2,NA,721,cherry,2.782752991,49.50085449,NA
2007-07-17,E2,NA,727,rp,1.052015305,51.29148102,NA
2007-07-17,E2,NA,727,rp,1.077118158,51.21673203,NA
2007-07-25,E3,NA,723,hem,1.307553649,50.67100906,NA
2007-07-25,E3,NA,723,hem,1.270462513,50.54575729,NA
2007-07-25,E3,NA,761,ro,2.87789607,51.79017639,NA
2007-07-25,E3,NA,761,ro,2.832830191,50.42418671,NA
2007-07-25,E3,NA,771,rm,1.694316745,49.53490067,NA
2007-07-25,E3,NA,771,rm,1.734672666,49.87802887,NA
2007-07-25,E4,NA,802,ro,2.508425951,50.05484772,NA
2007-07-25,E4,NA,802,ro,2.597388744,49.4379921,NA
2007-07-25,E4,NA,805,wp,1.244786143,50.704216,NA
2007-07-25,E4,NA,805,wp,1.214199662,50.36955261,NA
2007-07-25,E4,NA,819,yb,2.359619379,50.115345,NA
2007-07-25,E4,NA,819,yb,2.475539446,50.14096832,NA
2007-07-25,E4,NA,826,ws,1.187020421,48.42458725,NA
2007-07-25,E4,NA,826,ws,1.159503698,48.35646439,NA
2007-07-25,E4,NA,834,rm,2.090801001,49.29061127,NA
2007-07-25,E4,NA,834,rm,2.051960945,49.77287292,NA
2007-07-25,E4,NA,854,hem,1.264626503,51.07284546,NA
2007-07-25,E4,NA,854,hem,1.202565193,50.71208191,NA
2007-07-25,E5,NA,879,wp,1.346386075,50.78564072,NA
2007-07-25,E5,NA,879,wp,1.489014506,51.1482811,NA
2007-07-25,E5,NA,879,wp,1.369270682,51.82154083,NA
2007-07-25,E5,NA,885,rm,2.121986389,50.0091629,NA
2007-07-25,E5,NA,885,rm,2.151634455,50.4450798,NA
2007-07-25,E5,NA,890,ro,2.495036602,49.20875931,NA
2007-07-25,E5,NA,890,ro,2.487936497,48.80521774,NA
2007-07-25,E5,NA,911,hem,1.130021334,50.43918991,NA
2007-07-25,E5,NA,911,hem,1.186943173,50.0490303,NA
2007-07-17,F1,NA,930,hem,1.026467681,50.46762466,NA
2007-07-17,F1,NA,930,hem,0.969187677,50.53683853,NA
2007-07-17,F1,NA,932,cherry,2.161780119,48.87369156,NA
2007-07-17,F1,NA,932,cherry,2.172552824,48.90843582,NA
2007-07-17,F1,NA,933,rm,2.385697365,49.51825714,NA
2007-07-17,F1,NA,933,rm,2.421927452,49.85931015,NA
2007-07-17,F1,NA,943,rm,2.119237423,47.77124023,NA
2007-07-17,F1,NA,943,rm,2.156030178,48.27118301,NA
2007-07-17,F1,NA,945,rp,1.032060742,52.03229141,NA
2007-07-17,F1,NA,945,rp,1.088148236,51.49284744,NA
2007-07-17,F1,NA,949,bo,2.787522078,49.09458542,NA
2007-07-17,F1,NA,949,bo,2.755025625,48.47829056,NA
2007-07-17,F2,NA,980,hem,1.037971735,49.55800247,NA
2007-07-17,F2,NA,980,hem,1.097916842,49.66511917,NA
2007-07-17,F2,NA,983,yb,2.649193048,48.29681778,NA
2007-07-17,F2,NA,983,yb,2.586611032,47.91383743,NA
2007-07-17,F2,NA,984,rm,2.285527229,50.03281021,NA
2007-07-17,F2,NA,984,rm,2.217181921,50.07726288,NA
2007-07-17,F2,NA,988,bb,2.405202389,49.31055832,NA
2007-07-17,F2,NA,988,bb,2.370246172,49.25993729,NA
2007-07-17,F2,NA,995,ro,2.43555975,50.12453079,NA
2007-07-17,F2,NA,995,ro,2.41277647,47.1371994,NA
2007-07-17,F3,NA,2,hem,0.858465016,49.94171524,NA
2007-07-17,F3,NA,2,hem,0.881858885,49.52800751,NA
2007-07-17,F3,NA,3,wp,1.274606586,50.48999023,NA
2007-07-17,F3,NA,3,wp,1.297543168,49.92385483,NA
2007-07-17,F3,NA,8,ro,2.377779245,48.7042923,NA
2007-07-17,F3,NA,8,ro,2.282746315,48.94731903,NA
2007-07-17,F3,NA,9,rm,1.787781835,48.89225769,NA
2007-07-17,F3,NA,9,rm,1.810650349,49.10344696,NA
2007-07-17,F3,NA,10,yb,2.409546137,48.43769836,NA
2007-07-17,F3,NA,10,yb,2.419677258,48.36354828,NA
2007-07-25,F4,NA,49,ro,2.465751886,50.16732025,NA
2007-07-25,F4,NA,49,ro,2.464932919,50.28450394,NA
2007-07-25,F4,NA,55,bb,2.292472601,49.8470993,NA
2007-07-25,F4,NA,55,bb,2.323400736,49.18071747,NA
2007-07-25,F4,NA,56,ws,1.398855805,49.39776993,NA
2007-07-25,F4,NA,56,ws,1.184456587,48.83725739,NA
2007-07-25,F4,NA,56,ws,1.310456991,48.60083771,NA
2007-07-25,F4,NA,62,wp,1.562718511,50.37340164,NA
2007-07-25,F4,NA,62,wp,1.510245681,50.30353928,NA
2007-07-25,F4,NA,71,rm,1.979712129,48.47185898,NA
2007-07-25,F4,NA,71,rm,1.999448657,48.84448624,NA
2007-07-25,F4,NA,735,ash,2.402805567,47.41030884,NA
2007-07-25,F4,NA,735,ash,2.365893841,47.27019882,NA
2007-07-25,F5,NA,86,hem,1.327924967,51.68641663,NA
2007-07-25,F5,NA,86,hem,1.304341555,51.58568573,NA
2007-07-25,F5,NA,87,bo,2.304387331,49.91210938,NA
2007-07-25,F5,NA,87,bo,2.29467845,49.35922623,NA
2007-07-25,F5,NA,88,ws,1.10503602,49.73437119,NA
2007-07-25,F5,NA,88,ws,1.135205865,49.68405914,NA
2007-07-25,F5,NA,97,cherry,2.799905777,50.49161911,NA
2007-07-25,F5,NA,97,cherry,2.792778015,50.45238876,NA
2007-07-25,F5,NA,104,rm,2.058055162,49.37046432,NA
