year,date,plot,treatment,lys.no3,lys.nh4,volume
1994,1994-09-28,9,DC,0,0,17
1994,1994-09-28,10,DC,0,0,32
1994,1994-09-28,11,C,0,0,6
1994,1994-09-28,12,H,0,0,33
1994,1994-09-28,13,DC,0,0,29
1994,1994-09-28,14,C,0,0,31
1994,1994-09-28,15,H,0,0,29
1994,1994-09-28,16,H,0,0,27
1994,1994-09-28,17,DC,0,0,28
1994,1994-09-28,18,C,0,0,30
1994,1994-10-25,1,H,0,0,15
1994,1994-10-25,2,C,0,0,27
1994,1994-10-25,3,DC,0,0,26
1994,1994-10-25,4,C,0,0,27
1994,1994-10-25,5,DC,0,0,25
1994,1994-10-25,6,H,0,0,25
1994,1994-10-25,7,C,0,0,29
1994,1994-10-25,8,H,0,0,27
1994,1994-10-25,9,DC,0,0,16
1994,1994-10-25,10,DC,0,0,27
1994,1994-10-25,12,H,0,0,12
1994,1994-10-25,13,DC,0,0,28
1994,1994-10-25,14,C,0,0,28
1994,1994-10-25,15,H,0,0,25
1994,1994-10-25,16,H,0,0,24
1994,1994-10-25,17,DC,0,0,23
1994,1994-10-25,18,C,0,0,24
1994,1994-11-30,1,H,0,0,30
1994,1994-11-30,2,C,0,0,33
1994,1994-11-30,3,DC,0,0,32
1994,1994-11-30,4,C,0,0,32
1994,1994-11-30,5,DC,0,0,28
1994,1994-11-30,6,H,0,0,33
1994,1994-11-30,7,C,0,0,32
1994,1994-11-30,8,H,0,0,34
1994,1994-11-30,9,DC,0,0,24
1994,1994-11-30,10,DC,0,0,32
1994,1994-11-30,12,H,0,0,33
1994,1994-11-30,13,DC,0,0,33
1994,1994-11-30,14,C,0,0,33
1994,1994-11-30,15,H,0,0,30
1994,1994-11-30,16,H,0,0,32
1994,1994-11-30,17,DC,0,0,33
1994,1994-11-30,18,C,0,0,28
1995,1995-06-30,8,H,0,0,22
1995,1995-06-30,10,DC,0,0,27
1995,1995-10-17,1,H,0,0.19,31
1995,1995-10-17,2,C,0,0,31
1995,1995-10-17,3,DC,0,0.01,31
1995,1995-10-17,6,H,0,0.01,32
1995,1995-10-17,7,C,0,0,31
1995,1995-10-17,8,H,0,0.01,32
1995,1995-10-17,9,DC,0,0.05,10
1995,1995-10-17,10,DC,0,0.04,30
1995,1995-10-17,11,C,0,0.02,12
1995,1995-10-17,13,DC,0,0.12,31
1995,1995-10-17,14,C,0,0.01,30
1995,1995-10-17,15,H,0,0.06,33
1995,1995-10-17,16,H,0,0.04,30
1995,1995-10-17,18,C,0,0,30
1995,1995-11-16,1,H,0,0,30
1995,1995-11-16,2,C,0,0,31
1995,1995-11-16,3,DC,0,0.01,27
1995,1995-11-16,4,C,0,0.03,32
1995,1995-11-16,5,DC,0,0.07,28
1995,1995-11-16,6,H,0,0,30
1995,1995-11-16,7,C,0,0,31
1995,1995-11-16,8,H,0,0,33
1995,1995-11-16,9,DC,0,0,24
1995,1995-11-16,10,DC,0,0.04,30
1995,1995-11-16,11,C,0,0,31
1995,1995-11-16,12,H,0,0.95,31
1995,1995-11-16,13,DC,0,0.02,29
1995,1995-11-16,14,C,0,0.12,33
1995,1995-11-16,15,H,0,0.02,34
1995,1995-11-16,16,H,0,0,31
1995,1995-11-16,17,DC,0,2.24,17
1995,1995-11-16,18,C,0,0,29
