collection,month,year,species,plot,n.wt,avg.m.remain,sd.m.remain,n,avg.per.n,sd.per.n,avg.per.lignin,sd.per.lignin,avg.per.cellulose,sd.per.cellulose
9,8,1993,PIRE,PH,4,42.93,8.91,2,1.43,0.15,50.48,0.88,35.31,1.03
10,11,1993,PIRE,PH,4,32.8,2.66,2,1.53,0.03,53.48,0.3,32.99,0.46
11,8,1994,PIRE,PH,8,33.73,4.85,4,1.5,0.07,53.85,0.56,33.52,0.38
12,11,1994,PIRE,PH,8,32.99,6.65,4,1.52,0.09,54.19,0.73,33.39,0.51
1,8,1989,PIRE,PL,4,85.38,0.64,2,0.57,0,40.99,0.01,40.75,0.16
2,11,1989,PIRE,PL,4,73.68,1.65,2,0.88,0.03,39.93,0.11,41.22,0.4
3,8,1990,PIRE,PL,4,57,5.52,2,1.12,0.04,39.15,1.13,40.67,0.31
4,11,1990,PIRE,PL,4,50.93,3.76,2,1.19,0.05,40.21,0.2,39.81,0.16
5,8,1991,PIRE,PL,4,53.62,7.93,2,1.11,0.06,44.01,0.99,38.83,0.63
6,11,1991,PIRE,PL,4,40.59,8.93,2,1.36,0.1,47.81,0.3,36.34,0.46
7,8,1992,PIRE,PL,4,31.7,5.51,2,1.55,0.01,49.92,0.54,35.12,0.21
8,11,1992,PIRE,PL,4,30.34,7.14,2,1.36,0.06,51.52,0.76,34.07,0.11
9,8,1993,PIRE,PL,4,32.19,3.66,2,1.55,0.09,45.71,3.85,34.53,0.73
10,11,1993,PIRE,PL,4,27.38,12.6,2,1.47,0.02,53.19,0.77,32.8,0.44
11,8,1994,PIRE,PL,8,25.9,6.52,4,1.51,0.02,53.1,1.25,32.58,0.27
12,11,1994,PIRE,PL,8,25.52,2.91,4,1.56,0.04,52.91,1.5,32.85,0.88
1,8,1989,QUVE,HC,4,83.83,2.42,2,1.29,0.1,41.58,0.42,36.24,0.27
2,11,1989,QUVE,HC,4,71.73,1.08,2,1.47,0,42.78,0.87,36.19,0.42
