year,treat,species,n,av.n,sd.n,av.lig,sd.lig,av.cel,sd.cel
1999,HC,QUVE,6,2.35,0.21,26.28,1.89,44.49,2.35
1999,HH,ACRU,3,2.15,0.48,20.18,1.4,31.62,2.98
1999,HH,QUVE,6,3.13,0.22,28.63,0.98,39.16,1.32
1999,HL,ACRU,6,1.93,0.19,20.05,1.4,33.78,2.13
1999,HL,QUVE,8,2.64,0.19,27.82,1.03,42.59,2.49
1999,HNS,ACRU,4,1.75,0.08,19.87,1.66,29.23,1.27
1999,HNS,QUVE,6,2.62,0.05,27,1.41,39.09,1.62
1999,PC,PIRE,8,0.979,0.168,26.094,2.148,43.685,3.198
1999,PH,PIRE,8,1.944,0.351,21.105,2.798,46.416,2.67
1999,PL,PIRE,12,1.548,0.248,25.268,2.33,45.488,2.821
1999,PNS,PIRE,8,1.409,0.23,23.199,1.949,43.903,2.164
2002,HC,ACRU,10,1.73,0.22,19.44,1.09,32.58,2.44
2002,HC,QUVE,10,2.35,0.13,26.56,1.76,40.2,1.97
2002,HH,ACRU,4,2.4,0.34,22.09,0.49,34.46,1.94
2002,HH,QUVE,10,2.93,0.26,30.34,2.3,37.14,2.08
2002,HL,ACRU,10,1.92,0.16,20.71,1.3,33.8,1.31
2002,HL,QUVE,10,2.66,0.14,28.28,1.07,39.41,1.59
2002,HNS,ACRU,10,2.02,0.12,20.51,0.77,32.75,1.61
2002,HNS,QUVE,10,2.5,0.11,28.35,1.75,38.35,1.64
2002,PC,PIRE,30,1.07,0.21,23.59,2.78,43.44,3.87
2002,PH,PIRE,20,1.73,0.29,22.41,2.53,44.22,3.25
2002,PL,PIRE,30,1.68,0.27,24.39,2.66,44.99,2.69
2002,PNS,PIRE,24,1.58,0.29,24.33,2.79,44.88,2.5
2005,HC,QUVE,10,2.48,0.16,26.6,1.38,42.39,2.5
2005,HH,QUVE,10,3.08,0.25,28.95,1.65,38.89,1.27
2005,HL,QUVE,9,2.7,0.18,25.61,0.98,41.41,1.69
2005,HNS,QUVE,5,2.39,0.23,26.62,1.17,38.02,1.47
2005,PC,PIRE,8,1.12,0.09,20.99,3.53,42.34,3
2005,PH,PIRE,8,1.54,0.2,21.74,2.78,39.54,2.37
2005,PL,PIRE,10,1.67,0.21,21.23,3.57,43.5,3.43
2005,PNS,PIRE,10,1.44,0.21,20.44,3.74,41.91,2.94
2006,HC,BELE,4,2.48,0.13,NA,NA,NA,NA
2006,HC,QUVE,7,2.46,0.14,NA,NA,NA,NA
2006,HC,ACRU,4,1.71,0.11,NA,NA,NA,NA
2006,PC,PIRE,2,1.02,0.13,NA,NA,NA,NA
2007,HC,QUVE,7,2.26,0.13,26.56,0.99,NA,NA
2007,HC,BELE,4,2.22,0.23,22.93,0.16,NA,NA
2007,HC,ACRU,4,1.62,0.13,18.92,0.62,NA,NA
2007,PC,PIRE,2,1.4,0.14,24.07,1.35,NA,NA
2008,HC,QUVE,11,2.3,0.11,24.42,1.22,NA,NA
2008,HH,QUVE,7,2.89,0.22,26.58,1.46,NA,NA
2008,HL,QUVE,6,2.52,0.12,25.88,1.71,NA,NA
2008,HL,ACRU,1,1.95,NA,20.05,NA,NA,NA
2008,HNS,QUVE,3,2.38,0.18,24.61,0.91,NA,NA
2008,PC,PIRE,7,1.15,0.1,20.24,1.64,NA,NA
2008,PH,PIRE,6,1.36,0.04,21.49,1.01,NA,NA
2008,PL,PIRE,5,1.6,0.1,19.28,2.32,NA,NA
2008,PNS,PIRE,3,1.46,0.04,20.61,1.24,NA,NA
2009,HC,QUVE,20,2.42,0.15,22.28,1.63,NA,NA
2009,HC,ACRU,13,1.6,0.23,14.21,1.95,NA,NA
2009,HH,QUVE,21,3.04,0.26,25.06,2.18,NA,NA
2009,HH,ACRU,15,2,0.15,15.58,1.03,NA,NA
2009,HL,QUVE,20,2.58,0.19,23.23,1.97,NA,NA
2009,HL,ACRU,14,1.68,0.19,13.94,1.29,NA,NA
2009,PC,PIRE,6,1.06,0.13,16.54,0.52,NA,NA
2009,PL,PIRE,8,1.57,0.23,17.91,1.39,NA,NA
2010,HC,QUVE,10,2.3,0.128,18.908,1.587,NA,NA
2010,HH,QUVE,7,2.57,0.134,23.402,1.479,NA,NA
2010,HL,QUVE,7,2.46,0.462,20.878,4.346,NA,NA
2010,HNS,QUVE,3,2.37,0.076,21.777,0.275,NA,NA
2010,PC,PIRE,3,1.14,0.212,14.23,4.379,NA,NA
2010,PH,PIRE,1,1.13,NA,16.79,NA,NA,NA
2010,PNS,PIRE,2,1.29,0.191,14.525,0.12,NA,NA
2011,HC,QUVE,12,2.12,0.16,20.14,1.78,NA,NA
2011,HC,ACRU,5,1.61,0.23,13.83,2.03,NA,NA
