plot,sample.id,species,lat,lon,elev,year,cellulose,cellulose.method,lignin,lignin.method,carbon,carbon.method,hydrogen,hydrogen.method,nitrogen,nitrogen.method
HFR1,92HFS1WB4,BEPA,42.5412,-72.185,382,1992,29.99,1,21.2,1,50,6,7,6,1.94,1
HFR1,92HFS1WB5,BEPA,42.5412,-72.185,382,1992,35.17,1,19.05,1,50,6,6,6,2.04,1
HFR18,92HFS18GB1,BEPO,42.5368,-72.1758,365,1992,34.4,1,25.66,1,52,6,7,6,2.98,1
HFR18,92HFS18AB1,FAGR,42.5368,-72.1758,365,1992,49.47,1,15.53,1,49,6,6,6,2.82,1
HFR18,92HFS18AB2,FAGR,42.5368,-72.1758,365,1992,48.46,1,15.3,1,49,6,6,6,2.39,1
HFR18,92HFS18AB3,FAGR,42.5368,-72.1758,365,1992,40.16,1,13.9,1,49,6,6,6,2.13,1
HFR18,92HFS18AB4,FAGR,42.5368,-72.1758,365,1992,38.89,1,14.34,1,49,6,6,6,2.1,1
HFR2,92HFS2WA1,FRAM2,42.5363,-72.1737,355,1992,53.55,1,17.84,1,49,6,7,6,1.95,1
HFR2,92HFS2WA2,FRAM2,42.5363,-72.1737,355,1992,55.6,1,20.24,1,47,6,7,6,2.11,1
HFR2,92HFS2WA3,FRAM2,42.5363,-72.1737,355,1992,54.17,1,16.59,1,48,6,7,6,2.06,1
HFR2,92HFS2WA4,FRAM2,42.5363,-72.1737,355,1992,55.03,1,15.04,1,48,6,7,6,2,1
HFR2,92HFS2WA5,FRAM2,42.5363,-72.1737,355,1992,53.84,1,19.33,1,49,6,7,6,2.15,1
HFR4,92HFS4WA1,FRAM2,42.5293,-72.1789,307,1992,55.39,1,17.86,1,48,6,7,6,2.17,1
HFR4,92HFS4WA2,FRAM2,42.5293,-72.1789,307,1992,57.97,1,17.65,1,48,6,7,6,2.77,1
HFR4,92HFS4WA3,FRAM2,42.5293,-72.1789,307,1992,51.96,1,18.18,1,49,6,7,6,1.81,1
HFR4,92HFS4WA4,FRAM2,42.5293,-72.1789,307,1992,67.57,1,17.65,1,49,6,7,6,2.3,1
HFR6,92HFS6LL1,LALA,42.5042,-72.2122,300,1992,37.33,1,30.53,1,51,6,7,6,2.51,1
HFR6,92HFS6LL2,LALA,42.5042,-72.2122,300,1992,31.54,1,33.7,1,52,6,7,6,2.54,1
HFR6,92HFS6LL3,LALA,42.5042,-72.2122,300,1992,34.39,1,30.61,1,51,6,7,6,2.65,1
HFR6,92HFS6LL4,LALA,42.5042,-72.2122,300,1992,33.14,1,31.5,1,50,6,7,6,2.5,1
HFR6,92HFS6LL5,LALA,42.5042,-72.2122,300,1992,29.75,1,33.51,1,52,6,7,6,2.19,1
HFR12,92HFS12NS1,PIAB,42.5439,-72.1745,408,1992,40.64,1,22.16,1,51,6,7,6,1.35,1
HFR12,92HFS12NS2,PIAB,42.5439,-72.1745,408,1992,42.62,1,22.61,1,50,6,7,6,1.29,1
HFR12,92HFS12NS3,PIAB,42.5439,-72.1745,408,1992,41.58,1,24.76,1,50,6,7,6,1.35,1
HFR12,92HFS12NS4,PIAB,42.5439,-72.1745,408,1992,42.49,1,23.05,1,50,6,7,6,1.26,1
HFR12,92HFS12NS5,PIAB,42.5439,-72.1745,408,1992,41.93,1,25.92,1,50,6,7,6,1.45,1
HFR13,92HFS13NS1,PIAB,42.5443,-72.1817,382,1992,43.09,1,28.1,1,51,6,7,6,1.43,1
HFR13,92HFS13NS2,PIAB,42.5443,-72.1817,382,1992,40.02,1,26.15,1,51,6,7,6,1.2,1
HFR13,92HFS13NS3,PIAB,42.5443,-72.1817,382,1992,36.94,1,22.88,1,51,6,7,6,1.12,1
HFR13,92HFS13NS4,PIAB,42.5443,-72.1817,382,1992,39.45,1,24.67,1,51,6,7,6,1.13,1
HFR13,92HFS13NS5,PIAB,42.5443,-72.1817,382,1992,43.67,1,26.16,1,51,6,7,6,1.14,1
HFR7,92HFS7NS1,PIAB,42.5436,-72.1823,385,1992,38.6,1,26.34,1,50,6,7,6,1.3,1
HFR7,92HFS7NS2,PIAB,42.5436,-72.1823,385,1992,39.45,1,23.56,1,51,6,7,6,0.98,1
