year,doy,site,plot,spp,wt-g
1998,266,ems,E4,beech,0
1998,266,ems,E4,birch,0
1998,266,ems,E4,hemlock,0
1998,266,ems,E4,spruce,0
1998,266,ems,E4,w.pine,0
1998,266,ems,E4,r.pine,0
1998,266,ems,E4,cherry,0
1998,266,ems,E4,w.hazel,0
1998,266,ems,E4,chestnut,0
1998,266,ems,E4,ash,0
1998,266,ems,E4,unknown,0
1998,266,ems,E5,oak,0
1998,266,ems,E5,w.oak,0
1998,266,ems,E5,r.maple,2.77
1998,266,ems,E5,str.maple,0
1998,266,ems,E5,beech,0.18
1998,266,ems,E5,birch,0
1998,266,ems,E5,hemlock,2.65
1998,266,ems,E5,spruce,0
1998,266,ems,E5,r.pine,0
1998,266,ems,E5,w.pine,0.4
1998,266,ems,E5,cherry,0
1998,266,ems,E5,w.hazel,0
1998,266,ems,E5,chestnut,0
1998,266,ems,E5,ash,0
1998,266,ems,E5,unknown,0
1998,266,ems,F1,oak,0
1998,266,ems,F1,w.oak,0
1998,266,ems,F1,r.maple,4.71
1998,266,ems,F1,str.maple,0
1998,266,ems,F1,beech,0
1998,266,ems,F1,birch,0
1998,266,ems,F1,hemlock,0
1998,266,ems,F1,spruce,0
1998,266,ems,F1,r.pine,0.15
1998,266,ems,F1,w.pine,0
1998,266,ems,F1,cherry,0.18
1998,266,ems,F1,w.hazel,0
1998,266,ems,F1,chestnut,0
1998,266,ems,F1,ash,0
1998,266,ems,F1,unknown,0
1998,266,ems,F2,oak,0.96
1998,266,ems,F2,w.oak,0
1998,266,ems,F2,r.maple,2.76
1998,266,ems,F2,str.maple,0
1998,266,ems,F2,beech,0
1998,266,ems,F2,birch,0
1998,266,ems,F2,hemlock,0.2
1998,266,ems,F2,spruce,0
1998,266,ems,F2,r.pine,0
1998,266,ems,F2,w.pine,0
1998,266,ems,F2,cherry,0
1998,266,ems,F2,w.hazel,0
1998,266,ems,F2,chestnut,0
1998,266,ems,F2,ash,0
1998,266,ems,F2,unknown,0
1998,266,ems,F3,oak,0.31
1998,266,ems,F3,w.oak,0
1998,266,ems,F3,r.maple,0.99
1998,266,ems,F3,str.maple,0
1998,266,ems,F3,beech,0
1998,266,ems,F3,birch,1.54
1998,266,ems,F3,hemlock,0.287
1998,266,ems,F3,spruce,0
1998,266,ems,F3,r.pine,0
1998,266,ems,F3,w.pine,0.46
1998,266,ems,F3,cherry,0
1998,266,ems,F3,w.hazel,0
1998,266,ems,F3,chestnut,0
1998,266,ems,F3,ash,0.444
1998,266,ems,F3,unknown,0
1998,266,ems,F4,oak,0
1998,266,ems,F4,w.oak,0
1998,266,ems,F4,r.maple,0
1998,266,ems,F4,str.maple,0
1998,266,ems,F4,birch,0
1998,266,ems,F4,cherry,0
1998,266,ems,F4,hemlock,0
1998,266,ems,F4,spruce,0
1998,266,ems,F4,r.pine,0
1998,266,ems,F4,w.pine,0
1998,266,ems,F4,cherry,0
1998,266,ems,F4,w.hazel,0
1998,266,ems,F4,chestnut,0
1998,266,ems,F4,ash,0
1998,266,ems,F4,unknown,0
1998,266,ems,F5,oak,0.97
1998,266,ems,F5,w.oak,0
1998,266,ems,F5,r.maple,0.93
1998,266,ems,F5,str.maple,0
1998,266,ems,F5,beech,0
1998,266,ems,F5,birch,0.53
1998,266,ems,F5,hemlock,0
1998,266,ems,F5,spruce,0
1998,266,ems,F5,r.pine,0
1998,266,ems,F5,w.pine,0
1998,266,ems,F5,cherry,0
1998,266,ems,F5,w.hazel,0
1998,266,ems,F5,chestnut,0
1998,266,ems,F5,ash,0
1998,266,ems,F5,unknown,0
1998,266,ems,G1,oak,0
