date,tower,height,species,rep,hour,psn,cond,par,lpar,co2,ci,e,ci.ca,tleaf,tair,rh,esleaf,eair,vpd
1991-08-22,1,L,YB,2,16.49,1.43,0.11,45.96,3.83,335.33,305,NA,0.91,25,25.62,51.64,3.18,3.3,1.48
1991-08-22,1,L,YB,2,18.57,0.2,0.05,11.27,2.42,331.17,318.1,NA,0.96,23.74,23.59,62.24,2.95,2.92,1.13
1991-08-22,1,T,YB,2,10.54,13.55,0.41,1415,7.25,306.87,233.1,NA,0.76,30.84,29.15,57.37,4.47,4.06,2.14
1991-08-22,1,T,YB,2,12.18,3.77,0.1,996.53,6.9,354.37,279.67,NA,0.79,29.91,28.58,50.53,4.24,3.93,2.26
1991-08-22,1,T,YB,2,14.48,11.77,0.38,1258,7.14,314.83,241.1,NA,0.77,30.98,31.08,35.37,4.51,4.53,2.9
1991-08-22,1,T,YB,2,16.5,9.13,0.36,584.8,6.37,311.2,254,NA,0.82,28.71,29.92,47.48,3.95,4.24,1.94
1991-08-22,1,T,YB,2,18.14,5.05,0.24,244.17,5.5,321.07,276.17,NA,0.86,24.26,25.09,60.6,3.04,3.2,1.1
1991-08-22,1,L,OAK,3,10.53,3.06,0.14,78.34,4.36,337.8,295.13,NA,0.87,22.47,22.7,69.38,2.73,2.77,0.81
1991-08-22,1,L,OAK,3,12.47,4.96,0.13,151.47,5.02,309.83,237.53,NA,0.77,26.69,26.22,53.03,3.51,3.42,1.7
1991-08-22,1,L,OAK,3,14.97,2.57,0.07,61.27,4.12,346.83,275.67,NA,0.79,25.65,25.83,45.73,3.31,3.34,1.78
1991-08-22,1,L,OAK,3,16.86,0.34,0.05,16.93,2.83,339.43,318.5,NA,0.94,25.8,26.2,48.53,3.34,3.42,1.68
1991-08-22,1,L,OAK,3,18.88,-0.17,0.02,4.25,1.45,375.13,387.33,NA,1.03,22.89,22.74,62.83,2.8,2.78,1.06
1991-08-22,1,T,OAK,3,10.37,15.43,0.46,1521,7.33,304.27,227.97,NA,0.75,28.09,27.48,45.05,3.82,3.68,2.16
1991-08-22,1,T,OAK,3,12.52,11.96,0.23,1834.67,7.51,307.9,200.5,NA,0.65,32.81,30.07,45,5,4.28,3.08
1991-08-22,1,T,OAK,3,14.26,11.46,0.32,1642.67,7.4,313.63,231.87,NA,0.74,32.56,31.49,31.56,4.93,4.64,3.47
1991-08-22,1,T,OAK,3,17.3,3.37,0.16,140.67,4.95,311.37,267.9,NA,0.86,25.37,25.9,48.16,3.25,3.36,1.64
1991-08-22,1,T,OAK,3,18.91,1.29,0.04,57.38,4.05,331.2,270.33,NA,0.82,23.79,23.98,60.06,2.96,2.99,1.16
1991-08-22,1,L,RM,3,11.07,5.37,0.13,60.59,4.1,327.8,251.77,NA,0.77,22.88,23.16,60.89,2.8,2.85,1.07
1991-08-22,1,L,RM,3,12.16,6.13,0.1,184.77,5.22,315.63,182.67,NA,0.58,26.45,26.24,52.58,3.47,3.42,1.67
1991-08-22,1,L,RM,3,14.33,2.59,0.11,60.49,4.1,329.03,280.9,NA,0.85,25.73,26.39,45.98,3.32,3.45,1.73
1991-08-22,1,L,RM,3,17.15,0.53,0.04,21.65,3.07,330.7,299.17,NA,0.9,25.72,26.17,56.22,3.32,3.41,1.4
1991-08-22,1,L,RM,3,18.36,0.22,0.01,10.92,2.39,345.3,309.37,NA,0.9,24.44,24.66,52.19,3.08,3.12,1.45
1991-08-22,1,T,RM,3,9.9,8.01,0.22,1738.67,7.46,313.7,238.87,NA,0.76,27.76,26.15,56.94,3.74,3.4,1.8
1991-08-22,1,T,RM,3,11.94,5.52,0.11,839.79,6.73,330.47,234.57,NA,0.71,28.69,27.05,48.06,3.95,3.59,2.23
1991-08-22,1,T,RM,3,14.86,0.36,0.04,368.3,5.91,338.9,306.7,NA,0.9,30.38,30.41,28.72,4.36,4.36,3.1
1991-08-22,1,T,RM,3,16.86,1.73,0.05,124.93,4.83,327.53,256.17,NA,0.78,26.21,26.7,43.11,3.42,3.52,1.9
1991-08-22,1,T,RM,3,18.69,0.63,0.03,65.83,4.19,331.37,287.53,NA,0.87,24.37,25.01,53.54,3.06,3.18,1.36
1991-08-22,1,L,YB,3,10.28,7.88,0.12,859.1,6.76,332.53,203.57,NA,0.61,23.29,22.61,67.63,2.87,2.75,1.01
1991-08-22,1,L,YB,3,11.75,5.07,0.2,108.98,4.69,329.53,278.07,NA,0.84,24.64,25.28,52.88,3.11,3.23,1.4
1991-08-22,1,L,YB,3,14.63,3.55,0.1,166.71,5.12,322.27,256.33,NA,0.8,25.91,26.34,45.96,3.36,3.44,1.77
1991-08-22,1,L,YB,3,16.53,1.41,0.1,36.9,3.61,335.4,302.87,NA,0.9,25.26,25.81,51.07,3.23,3.34,1.53
1991-08-22,1,L,YB,3,18.6,0.3,0.04,9.02,2.2,334.3,316.13,NA,0.95,23.54,23.39,63.93,2.91,2.89,1.07
1991-08-22,1,T,YB,3,10.6,10.38,0.3,1619.33,7.39,334.3,257.73,NA,0.77,29.88,28.83,46.83,4.23,3.98,2.37
1991-08-22,1,T,YB,3,12.23,7.16,0.34,265.43,5.58,319.8,274.07,NA,0.86,25.91,26.79,57.82,3.36,3.54,1.31
1991-08-22,1,T,YB,3,14.51,12.81,0.24,631.43,6.45,330.57,219.37,NA,0.66,33.22,31.84,31.16,5.11,4.73,3.64
1991-08-22,1,T,YB,3,16.54,9.89,0.27,1128.1,7.03,303.4,224.67,NA,0.74,29.64,29.45,43.29,4.17,4.13,2.39
1991-08-22,1,T,YB,3,18.29,3.36,0.37,88.33,4.48,344.97,318.97,NA,0.92,25.32,26.69,46.21,3.24,3.51,1.62
1991-08-22,1,L,OAK,4,10.58,1.65,0.11,24.28,3.19,436.93,405.87,NA,0.93,22.14,22.7,69.21,2.68,2.77,0.76
1991-08-22,1,L,OAK,4,12.54,4.07,0.14,88.33,4.48,325.7,269.03,NA,0.83,24.77,25.59,51.68,3.14,3.29,1.43
1991-08-22,1,L,OAK,4,15.02,1.82,0.07,44.2,3.79,329.53,278.03,NA,0.84,25.63,25.83,46.92,3.3,3.34,1.73
1991-08-22,1,L,OAK,4,16.91,1.31,0.07,100.72,4.61,346.33,306.57,NA,0.89,25.93,26.61,51.01,3.36,3.5,1.58
1991-08-22,1,L,OAK,4,18.94,-0.21,0.01,4.68,1.54,344.63,363.37,NA,1.05,22.87,22.72,63.81,2.8,2.77,1.03
1991-08-22,1,T,OAK,4,10.4,16.52,0.47,1547,7.34,307.47,226.7,NA,0.74,28.84,28.18,40.65,3.98,3.83,2.43
1991-08-22,1,T,OAK,4,12.55,9.12,0.16,1616.33,7.39,313.83,201.63,NA,0.64,32.08,29.83,44.59,4.8,4.22,2.92
1991-08-22,1,T,OAK,4,14.31,16.8,0.43,2030.33,7.62,311.63,219.6,NA,0.7,33.2,32.08,30.22,5.11,4.8,3.66
1991-08-22,1,T,OAK,4,17.38,7.34,0.3,486.33,6.19,290.4,239.33,NA,0.82,24.95,25.96,51.72,3.17,3.37,1.43
1991-08-22,1,T,OAK,4,18.96,0.73,0.04,49.21,3.9,333.53,292.47,NA,0.88,23.46,24.11,57.51,2.9,3.02,1.17
1991-08-22,1,L,RM,4,11.11,6.65,0.16,377.77,5.93,321.07,240.2,NA,0.75,23.38,23.6,61.08,2.89,2.92,1.1
1991-08-22,1,L,RM,4,12.23,8.84,0.14,569.7,6.35,324.33,210.1,NA,0.65,26.28,26.22,52.28,3.43,3.42,1.64
1991-08-22,1,L,RM,4,14.38,2.55,0.11,62.05,4.13,335.93,288.7,NA,0.86,25.71,26.34,48.68,3.32,3.44,1.64
1991-08-22,1,L,RM,4,17.33,0.78,0.04,28.67,3.36,338.17,293.27,NA,0.87,25.7,26.22,46.1,3.32,3.42,1.74
1991-08-22,1,L,RM,4,18.42,0.22,0.01,10.06,2.31,334.17,295.93,NA,0.89,23.29,23.65,56.2,2.87,2.93,1.22
1991-08-22,1,T,RM,4,9.94,7.44,0.19,1325.33,7.19,323.1,243.9,NA,0.75,28.32,26.84,52.22,3.87,3.55,2.02
1991-08-22,1,T,RM,4,11.98,9.98,0.16,522.9,6.26,292.87,172.73,NA,0.59,30.32,27.68,56.85,4.34,3.73,2.22
1991-08-22,1,T,RM,4,14.91,2.67,0.06,1393,7.24,328.17,240.37,NA,0.73,32.1,30.65,36.32,4.8,4.42,3.2
1991-08-22,1,T,RM,4,16.94,2.81,0.1,175.7,5.17,333,276.03,NA,0.83,25.58,26.05,53,3.29,3.38,1.5
1991-08-22,1,T,RM,4,18.75,-0.17,0.03,85.32,4.45,338.17,340.23,NA,1.01,23.8,24.57,57.75,2.96,3.1,1.17
1991-08-22,1,L,YB,4,10.33,0.96,0.03,46.53,3.84,369.53,308,NA,0.83,22.72,22.6,65.9,2.77,2.75,0.96
1991-08-22,1,L,YB,4,11.88,2.68,0.17,64.38,4.16,335.53,300.8,NA,0.9,24.12,24.97,52.68,3.02,3.18,1.34
1991-08-22,1,L,YB,4,14.67,1.86,0.08,45.66,3.82,326.6,281.37,NA,0.86,25.65,26.23,47.55,3.31,3.42,1.68
