Year, Month, EcoregionIndex, SpeciesName, CohortAge, CohortWoodB, CohortLeafB, MortalityAGEwood, MortalityAGEleaf, MortalityBIOwood, MortalityBIOleaf, availableWater,LAI,tlai,rlai,mineralNalloc, resorbedNalloc, limitLAI, limitH20, limitT, limitN, maxNPP, Bmax, Bsite, Bcohort, soilTemp, actualWoodNPP, actualLeafNPP, NPPwood, NPPleaf, resorbedNused, mineralNused, Ndemand,deltaWood, deltaLeaf, totalMortalityWood, totalMortalityLeaf, 
1,11,1,pinustro,51,12887.3,217.0,0.00,0.00,2.58,6.03,4.09,5.84,5.84,1.00,0.30,0.00,0.94,1.00,0.01,1.00,350,26504,100824,13104.3,2.0,2.83,0.71,1.33,0.33,0.02,0.00,0.02,0.23,-5.33,2.61,6.03,
1,11,1,fagugran,21,1303.9,1.4,0.00,0.00,0.78,1.38,4.09,0.00,0.40,0.44,0.29,0.03,0.00,1.00,0.02,1.00,382,32682,100819,1305.3,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.78,-1.38,0.78,1.38,
1,11,1,betulent,21,656.0,1.7,0.00,0.00,0.39,1.70,4.09,0.00,0.09,0.51,0.27,0.01,0.00,1.00,0.44,1.00,220,19116,100817,657.7,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.39,-1.70,0.39,1.70,
1,11,1,betulent,11,297.3,1.7,0.00,0.00,0.18,1.70,4.09,0.00,0.04,0.51,0.20,0.01,0.00,1.00,0.44,1.00,220,19116,100815,299.0,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.18,-1.70,0.18,1.70,
1,11,1,fagugran,11,365.0,0.4,0.00,0.00,0.22,0.38,4.09,0.00,0.12,0.15,0.21,0.01,0.00,1.00,0.02,1.00,382,32682,100813,365.4,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.22,-0.38,0.22,0.38,
1,12,1,tsugcana,231,8895.8,130.6,48.83,0.72,1.78,3.63,3.61,3.19,3.19,1.00,0.31,0.00,0.78,0.01,0.19,1.00,350,42682,100812,9026.5,-2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-50.61,-4.35,50.61,4.35,
1,12,1,tsugcana,101,50125.4,344.0,14.10,0.10,10.03,9.55,3.61,5.77,5.77,1.00,0.31,0.00,0.93,0.01,0.19,1.00,350,42682,100757,50469.4,-2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-24.12,-9.65,24.12,9.65,
1,12,1,pinustro,101,25397.3,202.0,0.03,0.00,5.08,5.61,3.61,6.36,6.36,1.00,0.31,0.00,0.95,0.01,0.00,1.00,350,26504,100723,25599.2,-2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.11,-5.61,5.11,5.61,
1,12,1,pinustro,51,12887.5,211.7,0.00,0.00,2.58,5.88,3.61,5.84,5.84,1.00,0.31,0.00,0.94,0.01,0.00,1.00,350,26504,100712,13099.2,-2.5,0.01,0.00,0.00,0.00,0.00,0.00,0.00,-2.57,-5.88,2.58,5.88,
1,12,1,fagugran,21,1303.1,0.0,0.00,0.00,0.78,0.00,3.61,0.00,0.40,0.00,0.31,0.03,0.00,0.01,0.00,1.00,382,32682,100703,1303.1,-2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.78,0.00,0.78,0.00,
1,12,1,betulent,21,655.6,0.0,0.00,0.00,0.39,0.00,3.61,0.00,0.09,0.00,0.29,0.01,0.00,0.01,0.28,1.00,220,19116,100702,655.6,-2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.39,0.00,0.39,0.00,
1,12,1,betulent,11,297.1,0.0,0.00,0.00,0.18,0.00,3.61,0.00,0.04,0.00,0.21,0.01,0.00,0.01,0.28,1.00,220,19116,100702,297.1,-2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.18,0.00,0.18,0.00,
1,12,1,fagugran,11,364.8,0.0,0.00,0.00,0.22,0.00,3.61,0.00,0.12,0.00,0.23,0.01,0.00,0.01,0.00,1.00,382,32682,100701,364.8,-2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.22,0.00,0.22,0.00,
1,1,1,tsugcana,231,8845.2,126.3,48.56,0.69,1.77,3.51,2.91,3.18,3.18,1.00,0.33,0.01,0.78,0.01,0.14,1.00,350,42682,100701,8971.5,-4.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-50.33,-4.20,50.33,4.20,
