#ppt,,,
,FortBragg,FortBragg,FortBragg
TIMESTEP,MEAN(mm/d),VARIANCE(mm/d^2),STD_DEV(mm/d)
1991-07-24T00:00:00Z,0,0,0
1991-07-25T00:00:00Z,0.007760251,6.07E-04,0.024643764
1991-07-26T00:00:00Z,0.0846341,0.072387695,0.2690496
1991-07-27T00:00:00Z,0.14492871,0.116091914,0.34072265
1991-07-28T00:00:00Z,1.1046137,1.5376428,1.2400173
1991-07-29T00:00:00Z,0,0,0
1991-07-30T00:00:00Z,0,0,0
1991-07-31T00:00:00Z,0,0,0
1991-08-01T00:00:00Z,0,0,0
1991-08-02T00:00:00Z,0,0,0
1991-08-03T00:00:00Z,0,0,0
1991-08-04T00:00:00Z,0.14163803,0.12528996,0.35396323
1991-08-05T00:00:00Z,0.12735577,0.050259836,0.22418706
1991-08-06T00:00:00Z,0,0,0
1991-08-07T00:00:00Z,0,0,0
1991-08-08T00:00:00Z,0,0,0
1991-08-09T00:00:00Z,0,0,0
1991-08-10T00:00:00Z,0,0,0
1991-08-11T00:00:00Z,0,0,0
1991-08-12T00:00:00Z,0,0,0
1991-08-13T00:00:00Z,7.1382504,36.894737,6.074104
1991-08-14T00:00:00Z,15.301502,174.5102,13.210231
1991-08-15T00:00:00Z,7.9932485,21.68496,4.656711
1991-08-16T00:00:00Z,0.28919184,0.13675097,0.36979854
1991-08-17T00:00:00Z,0,0,0
1991-08-18T00:00:00Z,0,0,0
1991-08-19T00:00:00Z,0,0,0
1991-08-20T00:00:00Z,0,0,0
1991-08-21T00:00:00Z,0,0,0
1991-08-22T00:00:00Z,0,0,0
1991-08-23T00:00:00Z,0,0,0
1991-08-24T00:00:00Z,0,0,0
1991-08-25T00:00:00Z,0,0,0
1991-08-26T00:00:00Z,0,0,0
1991-08-27T00:00:00Z,0,0,0
1991-08-28T00:00:00Z,0,0,0
1991-08-29T00:00:00Z,0,0,0
1991-08-30T00:00:00Z,0,0,0
1991-08-31T00:00:00Z,0,0,0
1991-09-01T00:00:00Z,0,0,0
1991-09-02T00:00:00Z,0,0,0
1991-09-03T00:00:00Z,0,0,0
1991-09-04T00:00:00Z,0.55478203,0.36702642,0.60582703
1991-09-05T00:00:00Z,0.03161597,0.010196531,0.100977875
1991-09-06T00:00:00Z,1.7404904,1.1001809,1.048895
1991-09-07T00:00:00Z,0,0,0
1991-09-08T00:00:00Z,0.16916294,0.06048322,0.24593337
1991-09-09T00:00:00Z,5.6445293,20.485916,4.526137
1991-09-10T00:00:00Z,4.779809,10.8130455,3.2883196
1991-09-11T00:00:00Z,0.038945127,0.003978853,0.06307815
1991-09-12T00:00:00Z,0,0,0
1991-09-13T00:00:00Z,0,0,0
1991-09-14T00:00:00Z,0,0,0
1991-09-15T00:00:00Z,0,0,0
1991-09-16T00:00:00Z,0,0,0
1991-09-17T00:00:00Z,0,0,0
1991-09-18T00:00:00Z,0,0,0
1991-09-19T00:00:00Z,0,0,0
1991-09-20T00:00:00Z,0,0,0
1991-09-21T00:00:00Z,0,0,0
1991-09-22T00:00:00Z,0,0,0
1991-09-23T00:00:00Z,0,0,0
1991-09-24T00:00:00Z,0,0,0
1991-09-25T00:00:00Z,0,0,0
1991-09-26T00:00:00Z,0.58301395,0.44159088,0.66452307
1991-09-27T00:00:00Z,0,0,0
1991-09-28T00:00:00Z,0,0,0
1991-09-29T00:00:00Z,0,0,0
1991-09-30T00:00:00Z,0,0,0
1991-10-01T00:00:00Z,0,0,0
1991-10-02T00:00:00Z,0,0,0
1991-10-03T00:00:00Z,0,0,0
1991-10-04T00:00:00Z,0,0,0
1991-10-05T00:00:00Z,0,0,0
1991-10-06T00:00:00Z,0,0,0
1991-10-07T00:00:00Z,0,0,0
1991-10-08T00:00:00Z,0,0,0
1991-10-09T00:00:00Z,0,0,0
1991-10-10T00:00:00Z,0,0,0
1991-10-11T00:00:00Z,0,0,0
1991-10-12T00:00:00Z,0,0,0
1991-10-13T00:00:00Z,0,0,0
1991-10-14T00:00:00Z,0,0,0
1991-10-15T00:00:00Z,0,0,0
1991-10-16T00:00:00Z,0,0,0
1991-10-17T00:00:00Z,0,0,0
1991-10-18T00:00:00Z,0,0,0
1991-10-19T00:00:00Z,0,0,0
1991-10-20T00:00:00Z,0,0,0
1991-10-21T00:00:00Z,0,0,0
1991-10-22T00:00:00Z,0.8000741,0.5446394,0.7379969
1991-10-23T00:00:00Z,0.04384166,0.004538112,0.067365505
1991-10-24T00:00:00Z,0.7196377,1.3074268,1.1434276
1991-10-25T00:00:00Z,31.824083,475.41718,21.804064
1991-10-26T00:00:00Z,34.59603,228.6032,15.11963
1991-10-27T00:00:00Z,0.6346754,0.3879042,0.62281954
1991-10-28T00:00:00Z,0.40384898,0.14504102,0.3808425
1991-10-29T00:00:00Z,0,0,0
1991-10-30T00:00:00Z,0,0,0
1991-10-31T00:00:00Z,0,0,0
1991-11-01T00:00:00Z,0,0,0
1991-11-02T00:00:00Z,0,0,0
1991-11-03T00:00:00Z,0,0,0
1991-11-04T00:00:00Z,0,0,0
1991-11-05T00:00:00Z,0,0,0
1991-11-06T00:00:00Z,0,0,0
1991-11-07T00:00:00Z,0.3194911,0.06830372,0.2613498
1991-11-08T00:00:00Z,4.428516,17.129915,4.13883
1991-11-09T00:00:00Z,1.8577206,3.580156,1.89213
1991-11-10T00:00:00Z,0,0,0
1991-11-11T00:00:00Z,0,0,0
1991-11-12T00:00:00Z,0.05359217,0.010203584,0.10101279
1991-11-13T00:00:00Z,1.01413,0.12912291,0.35933676
1991-11-14T00:00:00Z,2.6208403,8.642641,2.939837
1991-11-15T00:00:00Z,0.1487866,0.050612397,0.224972
1991-11-16T00:00:00Z,9.804407,61.409126,7.8363976
1991-11-17T00:00:00Z,21.250324,162.67482,12.754404
1991-11-18T00:00:00Z,9.657265,52.49955,7.2456574
1991-11-19T00:00:00Z,1.2272556,1.8336664,1.3541294
1991-11-20T00:00:00Z,1.0568792,0.49405733,0.7028921
1991-11-21T00:00:00Z,0,0,0
1991-11-22T00:00:00Z,0,0,0
1991-11-23T00:00:00Z,0,0,0
1991-11-24T00:00:00Z,0,0,0
1991-11-25T00:00:00Z,0.17924286,0.3636141,0.6030042
1991-11-26T00:00:00Z,3.26122,8.200786,2.8637013
1991-11-27T00:00:00Z,2.7884731,1.6804706,1.2963296
1991-11-28T00:00:00Z,0.5252821,0.3911814,0.62544495
1991-11-29T00:00:00Z,0,0,0
1991-11-30T00:00:00Z,0,0,0
1991-12-01T00:00:00Z,0,0,0
1991-12-02T00:00:00Z,0,0,0
1991-12-03T00:00:00Z,0,0,0
1991-12-04T00:00:00Z,0,0,0
1991-12-05T00:00:00Z,0,0,0
1991-12-06T00:00:00Z,6.790324,38.00448,6.1647773
1991-12-07T00:00:00Z,6.216711,16.466955,4.0579495
1991-12-08T00:00:00Z,0.8895629,1.1363119,1.0659792
1991-12-09T00:00:00Z,0,0,0
1991-12-10T00:00:00Z,0,0,0
1991-12-11T00:00:00Z,0,0,0
1991-12-12T00:00:00Z,0,0,0
1991-12-13T00:00:00Z,0,0,0
1991-12-14T00:00:00Z,0,0,0
1991-12-15T00:00:00Z,0,0,0
1991-12-16T00:00:00Z,0.15870884,0.055860683,0.23634864
1991-12-17T00:00:00Z,2.8861806,9.445966,3.0734289
1991-12-18T00:00:00Z,8.098625,19.954723,4.467071
1991-12-19T00:00:00Z,1.2744893,1.955723,1.3984717
1991-12-20T00:00:00Z,0,0,0
1991-12-21T00:00:00Z,0,0,0
1991-12-22T00:00:00Z,0,0,0
1991-12-23T00:00:00Z,0,0,0
1991-12-24T00:00:00Z,0,0,0
1991-12-25T00:00:00Z,0,0,0
1991-12-26T00:00:00Z,0,0,0
1991-12-27T00:00:00Z,2.1281579,11.823844,3.4385817
1991-12-28T00:00:00Z,2.389813,5.280019,2.2978292
1991-12-29T00:00:00Z,1.3359913,1.5092161,1.2285016
1991-12-30T00:00:00Z,0,0,0
1991-12-31T00:00:00Z,0,0,0
1992-01-01T00:00:00Z,0,0,0
1992-01-02T00:00:00Z,0,0,0
1992-01-03T00:00:00Z,0.45984843,1.8671997,1.3664552
1992-01-04T00:00:00Z,13.241426,86.36998,9.293545
1992-01-05T00:00:00Z,3.3305266,9.856721,3.1395414
1992-01-06T00:00:00Z,3.115614,3.9745684,1.993632
1992-01-07T00:00:00Z,0.7018864,0.49665144,0.70473504
1992-01-08T00:00:00Z,0,0,0
1992-01-09T00:00:00Z,0,0,0
1992-01-10T00:00:00Z,0,0,0
1992-01-11T00:00:00Z,0,0,0
1992-01-12T00:00:00Z,0,0,0
1992-01-13T00:00:00Z,0,0,0
1992-01-14T00:00:00Z,0,0,0
1992-01-15T00:00:00Z,0,0,0
1992-01-16T00:00:00Z,0.020451233,0.001616086,0.040200572
1992-01-17T00:00:00Z,0.70788413,0.75113857,0.8666825
1992-01-18T00:00:00Z,0,0,0
1992-01-19T00:00:00Z,0,0,0
1992-01-20T00:00:00Z,0,0,0
1992-01-21T00:00:00Z,0,0,0
1992-01-22T00:00:00Z,0,0,0
1992-01-23T00:00:00Z,0,0,0
1992-01-24T00:00:00Z,0,0,0
1992-01-25T00:00:00Z,0,0,0
1992-01-26T00:00:00Z,0,0,0
1992-01-27T00:00:00Z,0.41698703,0.69331485,0.8326553
1992-01-28T00:00:00Z,0.2820374,0.05522327,0.23499632
1992-01-29T00:00:00Z,0,0,0
1992-01-30T00:00:00Z,0,0,0
1992-01-31T00:00:00Z,0.95902646,9.392066,3.0646477
1992-02-01T00:00:00Z,0.55014974,0.35922858,0.59935683
1992-02-02T00:00:00Z,0,0,0
1992-02-03T00:00:00Z,0,0,0
1992-02-04T00:00:00Z,0.4060905,1.5026071,1.2258087
1992-02-05T00:00:00Z,2.1379793,2.5011024,1.5814874
1992-02-06T00:00:00Z,1.523429,0.33961788,0.5827674
1992-02-07T00:00:00Z,0.94331026,0.05054271,0.22481705
1992-02-08T00:00:00Z,0.10847682,0.036771066,0.19175783
1992-02-09T00:00:00Z,1.4101387,1.463749,1.209855
1992-02-10T00:00:00Z,12.877708,41.73308,6.4601145
1992-02-11T00:00:00Z,5.805949,25.118137,5.0118
1992-02-12T00:00:00Z,8.54192,5.5741224,2.360958
1992-02-13T00:00:00Z,1.3341141,4.1276617,2.0316648
1992-02-14T00:00:00Z,26.150461,146.84723,12.118053
1992-02-15T00:00:00Z,18.281746,31.525208,5.6147313
1992-02-16T00:00:00Z,3.3738525,2.5063365,1.5831413
1992-02-17T00:00:00Z,0.73036426,0.13926429,0.37318128
1992-02-18T00:00:00Z,5.186984,11.829408,3.4393907
1992-02-19T00:00:00Z,10.509914,81.05011,9.002784
1992-02-20T00:00:00Z,2.719084,2.323432,1.5242808
1992-02-21T00:00:00Z,4.707249,11.611232,3.4075258
1992-02-22T00:00:00Z,1.7132335,4.171661,2.0424645
1992-02-23T00:00:00Z,0,0,0
1992-02-24T00:00:00Z,0,0,0
1992-02-25T00:00:00Z,0,0,0
1992-02-26T00:00:00Z,3.3912883,21.188663,4.6031146
1992-02-27T00:00:00Z,0,0,0
1992-02-28T00:00:00Z,0,0,0
1992-02-29T00:00:00Z,0.70725775,0.80060166,0.89476347
1992-03-01T00:00:00Z,0.08195213,0.024559626,0.15671511
1992-03-02T00:00:00Z,0.2106107,0.45373663,0.6735998
1992-03-03T00:00:00Z,0,0,0
1992-03-04T00:00:00Z,1.7163707,28.825222,5.3689127
1992-03-05T00:00:00Z,17.24259,192.96075,13.891031
1992-03-06T00:00:00Z,8.855359,48.140453,6.938332
1992-03-07T00:00:00Z,0,0,0
1992-03-08T00:00:00Z,0,0,0
1992-03-09T00:00:00Z,0,0,0
1992-03-10T00:00:00Z,0,0,0
1992-03-11T00:00:00Z,0,0,0
1992-03-12T00:00:00Z,0,0,0
1992-03-13T00:00:00Z,0,0,0
1992-03-14T00:00:00Z,0.58130276,3.4496891,1.8573339
1992-03-15T00:00:00Z,3.8530529,7.492741,2.7372873
1992-03-16T00:00:00Z,0.33253032,0.06300726,0.25101247
1992-03-17T00:00:00Z,0,0,0
1992-03-18T00:00:00Z,0,0,0
1992-03-19T00:00:00Z,0,0,0
1992-03-20T00:00:00Z,0.16013542,0.059866548,0.24467641
1992-03-21T00:00:00Z,2.9846232,7.9389153,2.817608
1992-03-22T00:00:00Z,2.0758665,3.6149857,1.9013116
1992-03-23T00:00:00Z,0,0,0
1992-03-24T00:00:00Z,0.5348642,2.9197404,1.7087249
1992-03-25T00:00:00Z,0.25782993,0.04774103,0.2184972
1992-03-26T00:00:00Z,0.7984366,0.72119766,0.84923357
1992-03-27T00:00:00Z,0.72699404,0.31513536,0.5613692
1992-03-28T00:00:00Z,0,0,0
1992-03-29T00:00:00Z,0.61045897,0.7652198,0.87476844
1992-03-30T00:00:00Z,8.45162,16.265688,4.0330744
1992-03-31T00:00:00Z,7.38425,47.98946,6.9274426
1992-04-01T00:00:00Z,0,0,0
1992-04-02T00:00:00Z,0,0,0
1992-04-03T00:00:00Z,0,0,0
1992-04-04T00:00:00Z,0,0,0
1992-04-05T00:00:00Z,0,0,0
1992-04-06T00:00:00Z,0,0,0
1992-04-07T00:00:00Z,0,0,0
1992-04-08T00:00:00Z,0,0,0
1992-04-09T00:00:00Z,0,0,0
1992-04-10T00:00:00Z,0,0,0
1992-04-11T00:00:00Z,0.09285405,0.031549662,0.17762224
1992-04-12T00:00:00Z,2.3841147,0.6378559,0.7986588
1992-04-13T00:00:00Z,1.9303477,3.1895325,1.7859262
1992-04-14T00:00:00Z,0.17217831,0.29957137,0.54733115
1992-04-15T00:00:00Z,0,0,0
1992-04-16T00:00:00Z,1.7681955,3.4933946,1.8690625
1992-04-17T00:00:00Z,0,0,0
1992-04-18T00:00:00Z,0,0,0
1992-04-19T00:00:00Z,0,0,0
1992-04-20T00:00:00Z,0,0,0
1992-04-21T00:00:00Z,0,0,0
1992-04-22T00:00:00Z,0,0,0
1992-04-23T00:00:00Z,0,0,0
1992-04-24T00:00:00Z,0,0,0
1992-04-25T00:00:00Z,0,0,0
1992-04-26T00:00:00Z,0,0,0
1992-04-27T00:00:00Z,0,0,0
1992-04-28T00:00:00Z,0,0,0
1992-04-29T00:00:00Z,0,0,0
1992-04-30T00:00:00Z,0,0,0
1992-05-01T00:00:00Z,0,0,0
1992-05-02T00:00:00Z,0.13649778,0.18962288,0.43545708
1992-05-03T00:00:00Z,0,0,0
1992-05-04T00:00:00Z,0,0,0
1992-05-05T00:00:00Z,0.055138096,0.031193068,0.1766156
1992-05-06T00:00:00Z,1.7144346,15.579084,3.9470348
1992-05-07T00:00:00Z,1.9753232,5.3471875,2.3123987
1992-05-08T00:00:00Z,0,0,0
1992-05-09T00:00:00Z,0,0,0
1992-05-10T00:00:00Z,0,0,0
1992-05-11T00:00:00Z,0,0,0
1992-05-12T00:00:00Z,0,0,0
1992-05-13T00:00:00Z,0,0,0
1992-05-14T00:00:00Z,0,0,0
1992-05-15T00:00:00Z,0.041687153,0.004397718,0.06631529
1992-05-16T00:00:00Z,0.43043637,0.24371895,0.493679
1992-05-17T00:00:00Z,0.11877522,0.020304663,0.14249443
1992-05-18T00:00:00Z,0.11676356,0.13935086,0.37329727
1992-05-19T00:00:00Z,0.99610245,0.6295897,0.79346687
1992-05-20T00:00:00Z,0.06183933,0.010845836,0.104143344
1992-05-21T00:00:00Z,0,0,0
1992-05-22T00:00:00Z,0,0,0
1992-05-23T00:00:00Z,0,0,0
1992-05-24T00:00:00Z,0.19074358,0.026928738,0.16409978
1992-05-25T00:00:00Z,0.2255499,0.11974456,0.34604126
1992-05-26T00:00:00Z,1.0912906,2.1038039,1.4504496
1992-05-27T00:00:00Z,0.69661415,0.5735395,0.7573239
1992-05-28T00:00:00Z,0,0,0
1992-05-29T00:00:00Z,0,0,0
1992-05-30T00:00:00Z,0.57907605,0.5935934,0.7704501
1992-05-31T00:00:00Z,0,0,0
1992-06-01T00:00:00Z,0,0,0
1992-06-02T00:00:00Z,0,0,0
1992-06-03T00:00:00Z,0,0,0
1992-06-04T00:00:00Z,0,0,0
1992-06-05T00:00:00Z,0.43452516,1.944802,1.3945615
1992-06-06T00:00:00Z,0.10639607,0.116293915,0.34101894
1992-06-07T00:00:00Z,0.16829364,0.29108915,0.53952676
1992-06-08T00:00:00Z,0,0,0
1992-06-09T00:00:00Z,0,0,0
1992-06-10T00:00:00Z,0,0,0
1992-06-11T00:00:00Z,0.012882521,0.001732926,0.041628428
1992-06-12T00:00:00Z,0.005640198,1.73E-04,0.013164034
1992-06-13T00:00:00Z,1.3002928,2.8833172,1.6980333
1992-06-14T00:00:00Z,15.413139,20.434603,4.520465
1992-06-15T00:00:00Z,10.358633,39.194374,6.260541
1992-06-16T00:00:00Z,6.0120482,38.670162,6.218534
1992-06-17T00:00:00Z,1.7171712,2.2657804,1.505251
1992-06-18T00:00:00Z,1.5711262,0.84923416,0.921539
1992-06-19T00:00:00Z,0,0,0
1992-06-20T00:00:00Z,0,0,0
1992-06-21T00:00:00Z,0,0,0
1992-06-22T00:00:00Z,0.3125798,0.945158,0.97219235
