,Number,Type,Species,DBH,Height,Crown_Radius,Crown_Depth,Crown_Area,Basal_Area
115,115,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
116,116,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
117,117,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
118,118,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
119,119,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
120,120,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
121,121,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
122,122,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
123,123,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
124,124,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
125,125,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
126,126,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
127,127,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
128,128,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
129,129,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
130,130,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
131,131,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
132,132,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
133,133,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
134,134,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
135,135,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
136,136,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
137,137,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
138,138,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
139,139,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
140,140,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
141,141,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
142,142,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
143,143,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
